,clave,Nombre,Maestro,Lunes,Martes,Miercoles,Jueves,Viernes
0,DP0193,Taller de redacción profesional,Mex Torres / Pedro Antonio,11:00-13:00,-,11:00-12:00,-,-
1,"DP0194	",Desarrollo de habilidades del pensamiento,Peralta Del Riego / Víctor Manuel,-,-,"12:00-14:00	",-,"13:00-14:00	"
2,"IA0105	",Química Inorgánica,García Rosas / Marina Isabel,"9:00-11:00	",-,-,"9:00-11:00	",-
3,"IA0160	",Economía ambiental,Muñoz Dzib / Melchor Ernesto,"13:00-14:00	","9:00-11:00	",-,-,-
4,"II0102	",Física experimental,Ramírez Carmona / Leslye Johanna,-,"7:00-9:00	",-,"7:00-9:00	",-
5,II0104,Medio ambiente y desarrollo sustentable,Palomares Hofmann / Hugo,-,-,"9:00-11:00	",-,"8:00-9:00	"
6,"II0106	",Cálculo diferencial,Can Tun / Miguel Alberto,7:00-9:00,-,"7:00-9:00	",-,-
7,"IL0102	",Teoría general de sistemas,Sánchez Pérez / Víctor Leonel,-,"9:00-11:00	",-,"14:00-15:00	",-
8,DP0193,Taller de redacción profesional,Alvarado Martínez / María Del Carmen,-,-,17:00-18:00,-,16:00-18:00
9,DP0001,"Propedéutico de habilidades básicas de lectura, estudio e investigación",Trujillo Ramírez / Jorge Antonio,15:00-17:00,-,-,17:00-18:00,-
10,"DP0001	","Propedéutico de habilidades básicas de lectura, estudio e investigación",Landero Caraveo / Cledia María,-,17:00-18:00,-,-,15:00-17:00
11,DP0191,Taller de interacción grupal y competencias comunicativas,Diaz Barriga Cuevas / Claudia,-,-,-,15:00-17:00,17:00-18:00
12,DP0191,Taller de interacción grupal y competencias comunicativas,Diaz Barriga Cuevas / Claudia,18:00-20:00,-,-,17:00-18:00,-
13,DP0193,Taller de redacción profesional,Parra Dorantes / Roberto,-,-,18:00-20:00,-,17:00-18:00
14,DP0194,Desarrollo de habilidades del pensamiento,Mendoza Luna / José Arturo,-,-,19:00-20:00,-,20:00-22:00
15,II0209,Cálculo integral,Canul Chalé / Juan Diego,17:00-19:00,-,16:00-17:00,-,-
16,DP0193,Taller de redacción profesional,Parra Dorantes / Roberto,-,-,-,17:00-18:00,18:00-20:00
17,DP0193,Taller de redacción profesional,Caamal Lora / Gabriel Adoni,-,20:00-21:00,-,-,20:00-22:00
18,DP0194,Desarrollo de habilidades del pensamiento,Maich Sangiacomo / Karinna,-,20:00-22:00,-,20:00-21:00,-
19,DP0194,Desarrollo de habilidades del pensamiento,Aguilar Hernández / Miguel Ángel,-,19:00-20:00,-,-,18:00-20:00
20,DP0191,Taller de interacción grupal y competencias comunicativas,Maldonado Santiago / David,-,-,19:00-20:00,-,16:00-18:00
21,DP0193,Taller de redacción profesional,Caamal Lora / Gabriel Adoni,20:00-22:00,-,20:00-21:00,-,-
22,DP0001,"Propedéutico de habilidades básicas de lectura, estudio e investigación",Landero Caraveo / Cledia María,14:00-16:00,-,14:00-15:00,-,-
23,"II0106	",Cálculo diferencial,Zue / Juan Carlos,18:00-20:00,-,20:00-22:00,-,-
24,II0322,Álgebra lineal,Zavala Amezcua / Eva Mirelle,15:00-17:00,-,-,16:00-17:00,-
25,II0002,Propedéutico de matematicas para ingenierias,Caamal Uc / Abner Gadiel,7:00-9:00,-,7:00-9:00,-,-
26,"II0209	",Cálculo integral,Zavala Amezcua / Eva Mirelle,9:00-11:00,-,-,9:00-10:00,-
27,"DP0191	",Taller de interacción grupal y competencias comunicativas,Trujillo Ramírez / Jorge Antonio,-,20:00-21:00,-,20:00-22:00,-
28,"DP0194	",Desarrollo de habilidades del pensamiento,López Ávila / Nicté,19:00-21:00,-,-,-,20:00-21:00
29,"DP0191	",Taller de interacción grupal y competencias comunicativas,Maldonado Santiago / David,-,16:00-18:00,-,17:00-18:00,-
30,"DP0191	",Taller de interacción grupal y competencias comunicativas,Maldonado Santiago / David,-,-,18:00-19:00,-,18:00-20:00
31,DP0194,Desarrollo de habilidades del pensamiento,Cantero Flores / Víctor,19:00-20:00,-,-,18:00-20:00,-
32,"DP0194	",Desarrollo de habilidades del pensamiento,Aguilar Hernández / Miguel Ángel,-,16:00-18:00,-,16:00-17:00,-
33,DP0194,Desarrollo de habilidades del pensamiento,Aguilar Hernández / Miguel Ángel,-,18:00-19:00,-,19:00-21:00,-
34,"II0106	",Cálculo diferencial,Can Tun / Miguel Alberto,-,7:00-9:00,-,-,7:00-9:00
35,DP0396,Identidad y cultura,Barragan Garcia / Marco Antonio,-,-,7:00-9:00,-,8:00-9:00
36,IA0103,Microbiología,Méndez Torres / Jennifer,-,9:00-11:00,-,9:00-11:00,-
