,ciclos,clave,nombre,creditos,tipo,plan,preespecialidad
603,1,IT0101,Algoritmos y estructura de datos,6,Basica,IDP2016,
604,1,II0106,Cálculo diferencial,8,Basica,IDP2016,
605,1,II0209,Cálculo integral,6,Basica,IDP2016,
606,1,DP0194,Desarrollo de habilidades del pensamiento,6,Basica,IDP2016,
607,1,ID0101,Diseño de patrones para datos estructurados,6,Basica,IDP2016,
608,1,ID0102,Física clásica,8,Basica,IDP2016,
609,1,IT0264,Introducción a los sistemas de información,6,Basica,IDP2016,
610,1,IT0104,Matemáticas discretas,6,Basica,IDP2016,
611,1,ID0103,Organización y diseño de computadoras,8,Basica,IDP2016,
612,1,IT0161,Sistemas operativos POSIX,6,Basica,IDP2016,
613,1,DP0191,Taller de interacción grupal y competencias comunicativas,6,Basica,IDP2016,
614,1,DP0193,Taller de redacción profesional,6,Basica,IDP2016,
615,1,IT0103,Introducción a las redes,6,Elección libre,IDP2016,
616,1,ID0160,Pensamiento crítico para ingeniería,6,Elección libre,IDP2016,
617,1,ID0161,Recursos de comunicación para la era digital,6,Elección libre,IDP2016,
618,1,IL0102,Teoría general de sistemas,6,Elección libre,IDP2016,
619,2,II0322,Álgebra lineal,6,Basica,IDP2016,
620,2,ID0204,Bases de Datos,8,Basica,IDP2016,
621,2,II0320,Ecuaciones diferenciales,6,Basica,IDP2016,
622,2,II0215,Electricidad y magnetismo,8,Basica,IDP2016,
623,2,IL0204,Estadística analítica,8,Basica,IDP2016,
624,2,ID0205,Geometría computacional,6,Basica,IDP2016,
625,2,DP0396,Identidad y cultura,6,Basica,IDP2016,
626,2,ID0206,Interconectividad en redes,8,Basica,IDP2016,
627,2,PID0201,Prácticas Profesionales I,10,Basica,IDP2016,
628,2,II0319,Probabilidad y estadística,6,Basica,IDP2016,
629,2,IT0210,Programación orientada a objetos,6,Basica,IDP2016,
630,2,DP0295,Taller de formación en responsabilidad social y ambiental,6,Basica,IDP2016,
631,2,IT0107,Técnicas algorítmicas,8,Basica,IDP2016,
632,2,ID0262,Contabilidad y costos para ingeniería,6,Elección libre,IDP2016,
633,2,ID0264,Innovación disruptiva,6,Elección libre,IDP2016,
634,2,ID0265,Programación web,6,Elección libre,IDP2016,
635,2,ID0263,Sistemas de planificación de recursos empresariales,6,Elección libre,IDP2016,
