ciclos,clave,nombre,creditos,tipo,plan,preespecialidad
1,II0322,Álgebra lineal,6,Basica,2012IA,NA
1,II0106,Cálculo diferencial,8,Basica,2012IA,NA
1,II0209,Cálculo integral,6,Basica,2012IA,NA
1,DP0194,Desarrollo de habilidades del pensamiento,6,Basica,2012IA,NA
1,II0102,Física experimental,8,Basica,2012IA,NA
1,IL0415,Ingeniería económica,8,Basica,2012IA,NA
1,IA0101,Introducción a la ingeniería ambiental,6,Basica,2012IA,NA
1,II0104,Medio ambiente y desarrollo sustentable,6,Basica,2012IA,NA
1,IA0103,Microbiología,8,Basica,2012IA,NA
1,DP0001,"Propedéutico de habilidades básicas de lectura, estudio e investigación",6,Basica,2012IA,NA
1,II0002,Propedéutico de matematicas para ingenierias,8,Basica,2012IA,NA
1,IA0102,Química general,8,Basica,2012IA,NA
1,DP0191,Taller de interacción grupal y competencias comunicativas,6,Basica,2012IA,NA
1,DP0193,Taller de redacción profesional,6,Basica,2012IA,NA
1,II0217,Contabilidad financiera,6,Elección libre,2012IA,NA
1,II0421,Organización y administración de empresas,6,Elección libre,2012IA,NA
1,IT0192,Taller de computación,6,Elección libre,2012IA,NA
1,IL0102,Teoría general de sistemas,6,Elección libre,2012IA,NA
2,II0218,Cálculo vectorial,8,Basica,2012IA,NA
2,II0320,Ecuaciones diferenciales,6,Basica,2012IA,NA
2,II0215,Electricidad y magnetismo,8,Basica,2012IA,NA
2,IL0204,Estadística analítica,8,Basica,2012IA,NA
2,DP0396,Identidad y cultura,6,Basica,2012IA,NA
2,IA0206,Legislación y normativa ambiental,6,Basica,2012IA,NA
2,II0213,Mecánica de fluidos,6,Basica,2012IA,NA
2,PIA0201,Prácticas profesionales I,10,Basica,2012IA,NA
2,II0319,Probabilidad y estadística,6,Basica,2012IA,NA
2,IA0205,Química ambiental,8,Basica,2012IA,NA
2,IA0204,Química analítica,6,Basica,2012IA,NA
2,DP0295,Taller de formación en responsabilidad social y ambiental,6,Basica,2012IA,NA
2,II0216,Termodinámica,8,Basica,2012IA,NA
2,IT0101,Algoritmos y estructura de datos,6,Elección libre,2012IA,NA
2,II0164,Metrología y normalización,6,Elección libre,2012IA,NA
2,II0269,Recursos energéticos,6,Elección libre,2012IA,NA
2,II3472,Taller de software para ingeniería,6,Elección libre,2012IA,NA
3,IA0307,Gestión ambiental,6,Basica,2012IA,NA
3,II0423,Métodos numéricos por computadora,8,Basica,2012IA,NA
3,PIA0302,Prácticas profesionales II,10,Basica,2012IA,NA
3,DP0497,Problemas del mundo contemporáneo,6,Basica,2012IA,NA
3,IA0309,Procesos Fisicoquímicos,8,Basica,2012IA,NA
3,II0264,Seguridad e higiene industrial,6,Basica,2012IA,NA
3,II0323,Transferencia de calor,6,Basica,2012IA,NA
3,IA0308,Transferencia de masa,6,Basica,2012IA,NA
3,IA0412,Calidad del agua,8,Basica,2012IA,NA
3,IA0414,Calidad del aire,8,Basica,2012IA,NA
3,IA0410,Ingeniería de procesos ambientales,8,Basica,2012IA,NA
3,IA0411,Planeación y evaluación de proyectos ambientales,6,Basica,2012IA,NA
3,PIA0404,Prácticas profesionales preespecialidad: Energías renovables y eficiencia energética,10,Basica,2012IA,NA
3,PIA0403,Prácticas profesionales preespecialidad: Regeneración ambiental,10,Basica,2012IA,NA
3,DP0498,Problemas de México,6,Basica,2012IA,NA
3,IT0427,Proyecto terminal,6,Basica,2012IA,NA
3,DP0499,Seminario de investigación,6,Basica,2012IA,NA
3,IA0413,Tratamiento de residuos,8,Basica,2012IA,NA
4,IA3420,Bioclimatismo,6,Elección libre,2012IA,NA
4,IA3417,Control y principios de automatización,6,Elección libre,2012IA,NA
4,IL3421,Desarrollo de habilidades gerenciales,6,Elección libre,2012IA,NA
4,IL0308,Diseño de experimentos,6,Elección libre,2012IA,NA
4,II3429,Evaluación de tecnologías e impacto ambiental,6,Elección libre,2012IA,NA
4,IA3418,Geohidrología,6,Elección libre,2012IA,NA
4,II3427,Instalaciones industriales,6,Elección libre,2012IA,NA
4,IA3415,Instrumentos de política ambiental,6,Elección libre,2012IA,NA
4,IA3419,Meteorología y climatología,6,Elección libre,2012IA,NA
4,IA3401,Movilidad I,6,Elección libre,2012IA,NA
4,IA3402,Movilidad II,6,Elección libre,2012IA,NA
4,IA3403,Movilidad III,6,Elección libre,2012IA,NA
4,IA3404,Movilidad IV,6,Elección libre,2012IA,NA
4,IA3405,Movilidad V,6,Elección libre,2012IA,NA
4,IA3406,Movilidad VI,6,Elección libre,2012IA,NA
4,IL0414,Taller de argumentación y técnicas de negociación,6,Elección libre,2012IA,NA
4,II0422,Taller de emprendedores,6,Elección libre,2012IA,NA
4,IA3416,Toxicología ambiental,6,Elección libre,2012IA,NA
4,IA3430,Bioenergéticos,6,Preespecialidad,2012IA,Energías renovables y eficiencia energética
4,IA3424,Bioremediación,6,Preespecialidad,2012IA,Regeración ambiental
4,IA3422,Control de emisiones,6,Preespecialidad,2012IA,Regeración ambiental
4,IA3426,Eficiencia energética,6,Preespecialidad,2012IA,Energías renovables y eficiencia energética
4,IA3429,Energía del agua,6,Preespecialidad,2012IA,Energías renovables y eficiencia energética
4,IA3428,Energía eólica,6,Preespecialidad,2012IA,Energías renovables y eficiencia energética
4,IA3427,Energía solar,6,Preespecialidad,2012IA,Energías renovables y eficiencia energética
4,IA3423,Saneamiento de suelos,6,Preespecialidad,2012IA,Regeración ambiental
4,IA3421,Sistema de tratamiento de agua,6,Preespecialidad,2012IA,Regeración ambiental
4,IA3425,Temas selectos de remediación ambiental,6,Preespecialidad,2012IA,Regeración ambiental
1,IT0101,Algoritmos y estructura de datos,6,Basica,2016ID,NA
1,II0106,Cálculo diferencial,8,Basica,2016ID,NA
1,II0209,Cálculo integral,6,Basica,2016ID,NA
1,DP0194,Desarrollo de habilidades del pensamiento,6,Basica,2016ID,NA
1,ID0101,Diseño de patrones para datos estructurados,6,Basica,2016ID,NA
1,ID0102,Física clásica,8,Basica,2016ID,NA
1,IT0264,Introducción a los sistemas de información,6,Basica,2016ID,NA
1,IT0104,Matemáticas discretas,6,Basica,2016ID,NA
1,ID0103,Organización y diseño de computadoras,8,Basica,2016ID,NA
1,IT0161,Sistemas operativos POSIX,6,Basica,2016ID,NA
1,DP0191,Taller de interacción grupal y competencias comunicativas,6,Basica,2016ID,NA
1,DP0193,Taller de redacción profesional,6,Basica,2016ID,NA
1,IT0103,Introducción a las redes,6,Elección libre,2016ID,NA
1,ID0160,Pensamiento crítico para ingeniería,6,Elección libre,2016ID,NA
1,ID0161,Recursos de comunicación para la era digital,6,Elección libre,2016ID,NA
1,IL0102,Teoría general de sistemas,6,Elección libre,2016ID,NA
2,II0322,Álgebra lineal,6,Basica,2016ID,NA
