plan,ser1,ser2
2016ID,II0106,II0209
2016ID,ID0102,II0215
2016ID,II0209,II0320
2016ID,ID0103,IT0263
2016ID,IT0264,ID0204
2016ID,ID0101,IT0107
2016ID,II0319,IL0204
2016ID,IT0210,ID0307
2016ID,IL0204,ID0309
2016ID,ID0206,ID0414
2016ID,IT0263,IT0208
2016ID,ID0310,ID0413
2016ID,PID0201,PID0302
2016ID,PID0302,PID0404
2016ID,PID0302,PID0403
2016ID,DP0499,IT0427
2018II,II0002,II0322
2018II,II0002,II0106
2018II,II0107,II0220
2018II,II0102,II0220
2018II,II0322,II0318
2018II,II0106,II0209
2018II,II0108,II3480
2018II,II0264,II0212
2018II,II0421,II0212
2018II,II0209,II0216
2018II,II0209,II0218
2018II,II0319,IL0204
2018II,II0319,IL0313
2018II,II0220,II0215
2018II,II0212,II0214
2018II,II0212,II3425
2018II,II0318,II0424
2018II,II0218,II0325
2018II,II0218,II0320
2018II,IL0204,II0424
2018II,II0215,IT0263
2018II,II0424,II3441
2018II,II3486,II0214
2018II,II0324,II3478
2018II,IT0263,IT0208
2018II,II3425,IL0309
2018II,II3425,II3442
2018II,ID0264,II3478
2018II,DP0499,IT0427
2018II,ID0264,IT0427
2018II,II3442,II3439
2018II,II3442,IL0206
2018II,IL0309,II3478
2018II,II0108,II3480
2018II,IT0101,II3480
2018IL,II0002,II0106
2018IL,II0002,II0322
2018IL,II0322,II0209
2018IL,IL0101,IL0208
2018IL,II0209,II0319
2018IL,II0209,II0218
2018IL,IT0101,II0318
2018IL,IL0206,IL0310
2018IL,II0319,IL0204
2018IL,II0218,II0320
2018IL,II0318,IL0311
2018IL,II0318,II0219
2018IL,IL0310,IL0208
2018IL,IL0204,IL0314
2018IL,IL0204,II0423
2018IL,IL0311,II0423
2018IL,IL0311,IL0314
2018IL,II0320,II0423
2018IL,IL0208,IL3424
2018IL,IL0208,II3473
2018IL,IL0314,IL0308
2018IL,IL0314,II0424
2018IL,IL0314,II0219
2018IL,ID0204,ID0308
2018IL,II0423,ID0309
2018IL,ID0308,ID0310
2018IL,ID0309,ID0310
2018IL,II3473,IL0417
2018IL,ID3424,IL3426
2018IL,IL0308,II0424
2018IL,IL0417,IL0418
2018IL,IL3426,IL3427
2018IL,IL3426,ID3468
2018IL,DP0499,IT0427
2012IA,II0002,II0106
2012IA,IA0102,IA0204
2012IA,II0104,IA0103
2012IA,IA0101,IA0103
2012IA,II0209,II0218
2012IA,II0209,II0216
2012IA,II0209,II0320
2012IA,IA0103,IA3424
2012IA,II0102,II0215
2012IA,II0102,II0216
2012IA,II0218,II0213
2012IA,II0319,IL0204
2012IA,IA0204,IA0205
2012IA,II0320,II0423
2012IA,II0213,II0323
2012IA,IA0205,IA0414
2012IA,IA0206,IA0309
2012IA,IA0206,II0264
2012IA,IA0206,IA0308
2012IA,II0423,IA0410
2012IA,II0323,IA0308
2012IA,II0323,IA0410
2012IA,IA0307,IA0410
2012IA,IA0309,IA0410
2012IA,II0264,IA0413
2012IA,IA0308,IA0411
2012IA,IA0414,IA3422
2012IA,IA0414,IA0413
2012IA,IA0410,IA0413
2012IA,IA0410,IA3422
2012IA,DP0499,IT0427
2021ID,II0106,II0209
2021ID,ID0102,II0215
2021ID,II0209,II0320
2021ID,ID0103,IT0263
2021ID,IT0264,ID0204
2021ID,ID0101,IT0107
2021ID,II0319,IL0204
2021ID,IT0210,ID0307
2021ID,IL0204,ID0309
2021ID,ID0206,ID0414
2021ID,IT0263,IT0208
2021ID,ID0310,ID0413
2021ID,PID0201,PID0302
2021ID,PID0302,PID0404
2021ID,PID0302,PID0403
2021ID,DP0499,IT0427
2019IA,II0002,II0106
2019IA,IA0102,IA0204
2019IA,II0104,IA0103
2019IA,IA0101,IA0103
2019IA,II0209,II0218
2019IA,II0209,II0216
2019IA,II0209,II0320
2019IA,IA0103,IA3424
2019IA,II0102,II0215
2019IA,II0102,II0216
2019IA,II0218,II0213
2019IA,II0319,IL0204
2019IA,IA0204,IA0205
2019IA,II0320,II0423
2019IA,II0213,II0323
2019IA,IA0205,IA0414
2019IA,IA0206,IA0309
2019IA,IA0206,II0264
2019IA,IA0206,IA0308
2019IA,II0423,IA0410
2019IA,II0323,IA0308
2019IA,II0323,IA0410
2019IA,IA0307,IA0410
2019IA,IA0309,IA0410
2019IA,II0264,IA0413
2019IA,IA0308,IA0411
2019IA,IA0414,IA3422
2019IA,IA0414,IA0413
2019IA,IA0410,IA0413
2019IA,IA0410,IA3422
2019IA,DP0499,IT0427
