clave,tasaReprobacion,quintil,cuartil
DP0295,0.06286549707602339,3,2
NI0215,0.0425531914893617,2,2
LI1104,0.20546120546120547,5,4
NI0209,0.21402877697841727,5,4
NI0213,0.055,3,2
NI0214,0.05901639344262295,3,2
NI0264,0.049019607843137254,2,2
NI0265,0.0794979079497908,3,3
DP0396,0.06025039123630673,3,2
NI0211,0.04633781763826607,2,2
NI0216,0.23211169284467714,5,4
TA0026,0.06896551724137931,3,3
LI0109,0.17746580273578114,5,4
DP0497,0.06613545816733067,3,2
LI1103,0.21923474663908996,5,4
IE0207,0.051111111111111114,2,2
IE0212,0.037142857142857144,2,2
IE0209,0.051075268817204304,2,2
IE0264,0.0963302752293578,4,3
IE0215,0.20168067226890757,5,4
IE0217,0.057356608478802994,3,2
IE0318,0.23546511627906977,5,4
IE3434,0.03932584269662921,2,2
IE0316,0.013513513513513514,1,1
IE3480,0.07692307692307693,3,3
PIE0302,0.16666666666666666,5,4
DP0001,0.07998324958123953,3,3
GA0111,0.12777777777777777,4,4
GA0112,0.07032181168057211,3,3
GA0106,0.11871227364185111,4,3
GA0102,0.07851239669421488,3,3
GA0104,0.2714285714285714,5,4
DP0194,0.1941031941031941,5,4
LI1102,0.206841046277666,5,4
GA0167,0.19791666666666666,5,4
DP0193,0.16375344986200552,5,4
DP0191,0.11032238982549541,4,3
GA0162,0.05527638190954774,3,2
LI1101,0.1419710544452102,4,4
GA0166,0.07297297297297298,3,3
II0001,0.24377155998466846,5,4
GA0105,0.14099783080260303,4,4
GA0108,0.35625,5,4
GA0109,0.07246376811594203,3,3
GA0110,0.09421841541755889,4,3
IT0192,0.13725490196078433,4,4
GA3480,0.020134228187919462,1,1
GA0215,0.04275534441805225,2,2
AD0002,0.0,1,1
GA0219,0.10795454545454546,4,3
GA0220,0.11174785100286533,4,3
NI0212,0.07679180887372014,3,3
NI3470,0.012605042016806723,1,1
NI3426,0.035483870967741936,2,2
NI0319,0.06692913385826772,3,2
NI0318,0.16580310880829016,5,4
NI3438,0.07079646017699115,3,3
LI0110,0.15014887282007655,5,4
NI0320,0.023977433004231313,1,1
NI3425,0.022292993630573247,1,1
NI0267,0.032640949554896145,2,1
PN0201,0.18309859154929578,5,4
GA0222,0.1848341232227488,5,4
GA3468,0.14666666666666667,5,4
GA0223,0.048,2,2
GA3476,0.09859154929577464,4,3
GA0323,0.1443661971830986,4,4
GA3436,0.09053497942386832,4,3
GA0165,0.03303303303303303,2,1
GA0216,0.04871060171919771,2,2
AD0018,0.08417508417508418,3,3
IA0206,0.07971014492753623,3,3
IA0205,0.12574850299401197,4,4
II0164,0.04700854700854701,2,2
II0216,0.324455205811138,5,4
IA3430,0.011764705882352941,1,1
II0323,0.16049382716049382,5,4
IA3416,0.14285714285714285,4,4
IE3432,0.038461538461538464,2,2
IE0422,0.06666666666666667,3,2
IE0325,0.05841121495327103,3,2
IE0324,0.06088992974238876,3,2
IE0424,0.075,3,3
IE0423,0.05654761904761905,3,2
IE3475,0.0,1,1
IE3474,0.11827956989247312,4,3
NI3439,0.04964539007092199,2,2
IE3433,0.017341040462427744,1,1
DP0499,0.09852216748768473,4,3
IE3437,0.16279069767441862,5,4
IE0107,0.1969111969111969,5,4
NI0162,0.051070840197693576,2,2
IE0105,0.30353430353430355,5,4
IE0106,0.20421052631578948,5,4
IE0102,0.17564870259481039,5,4
AD0003,0.08333333333333333,3,3
IE3468,0.05454545454545454,2,2
II0107,0.19672131147540983,5,4
II0106,0.4213197969543147,5,4
II0322,0.3132387706855792,5,4
II0264,0.12562814070351758,4,4
II0160,0.07476635514018691,3,3
AD0010,0.08450704225352113,3,3
II0319,0.3160040774719674,5,4
TA0019,0.07598039215686274,3,3
GA3478,0.03680981595092025,2,2
GA0221,0.14523809523809525,5,4
TS0167,0.09146341463414634,4,3
TS0105,0.12634408602150538,4,4
TS0103,0.0759493670886076,3,3
TS0104,0.02981029810298103,2,1
TS0209,0.12082262210796915,4,3
TS0215,0.07339449541284404,3,3
TS0216,0.05722070844686648,3,2
TS0270,0.2974559686888454,5,4
TS0421,0.13131313131313133,4,4
TS0214,0.05714285714285714,3,2
NI0106,0.10375,4,3
NI0108,0.055299539170506916,3,2
NI0103,0.1767180925666199,5,4
NI0163,0.23509933774834438,5,4
NI0104,0.06666666666666667,3,2
NI0107,0.279874213836478,5,4
TS0162,0.06285714285714286,3,2
TS0102,0.0491283676703645,2,2
AD0011,0.08438818565400844,3,3
TS0210,0.27882037533512066,5,4
TS0269,0.034482758620689655,2,2
TS0206,0.0633245382585752,3,2
TS0317,0.10569105691056911,4,3
II0102,0.4282018111254851,5,4
II0002,0.3983516483516483,5,4
IL0313,0.17289719626168223,5,4
II0212,0.23232323232323232,5,4
II0421,0.041176470588235294,2,2
II0104,0.060240963855421686,3,2
TA0011,0.07878787878787878,3,3
TS0211,0.08993576017130621,4,3
TS0166,0.13333333333333333,4,4
AD0013,0.14360313315926893,4,4
II0161,0.1111111111111111,4,3
IL0102,0.10278372591006424,4,3
IL0160,0.09433962264150944,4,3
IL0207,0.12121212121212122,4,4
IL0263,0.3137254901960784,5,4
GA0209,0.07922912205567452,3,3
GA0210,0.02710027100271003,2,1
GA0213,0.14102564102564102,4,4
II0105,0.050505050505050504,2,2
II0219,0.15060240963855423,5,4
IT0264,0.11434108527131782,4,3
IL0203,0.2978723404255319,5,4
IL0262,0.09803921568627451,4,3
IL0415,0.07476635514018691,3,3
II0217,0.10365853658536585,4,3
IA0103,0.11494252873563218,4,3
IE0265,0.03940886699507389,2,2
IE0214,0.05864197530864197,3,2
IT0104,0.3501199040767386,5,4
IT0107,0.0970464135021097,4,3
DP0498,0.07578323454699407,3,3
II0422,0.023622047244094488,1,1
AD0015,0.0,1,1
GA0265,0.08426966292134831,3,3
TA0002,0.15406162464985995,5,4
IE0208,0.08181818181818182,3,3
IE0160,0.09558823529411764,4,3
IE0213,0.1187648456057007,4,3
IE0216,0.06735751295336788,3,2
NI0161,0.07116104868913857,3,3
TS0165,0.06666666666666667,3,2
AD0016,0.017857142857142856,1,1
IT0161,0.40669856459330145,5,4
ID0102,0.38006230529595014,5,4
IT0101,0.36104513064133015,5,4
ID0160,0.1,4,3
AD0001,0.08403361344537816,3,3
TS0271,0.09740259740259741,4,3
TA0017,0.22924901185770752,5,4
II0103,0.1206896551724138,4,3
IE3425,0.03684210526315789,2,2
PIE0201,0.27450980392156865,5,4
IE3476,0.08759124087591241,4,3
NI0423,0.08323831242873432,3,3
IE3427,0.02054794520547945,1,1
IE3422,0.08139534883720931,3,3
IE3424,0.06282722513089005,3,2
IE3430,0.05825242718446602,3,2
IE0317,0.04788732394366197,2,2
IE3467,0.06417112299465241,3,2
IE3428,0.05825242718446602,3,2
IE0320,0.04145077720207254,2,2
IE3426,0.08,3,3
IE3478,0.07692307692307693,3,3
PN0302,0.14009661835748793,4,4
NI0317,0.05642023346303502,3,2
IL0101,0.19083969465648856,5,4
IL0161,0.07407407407407407,3,3
IE0101,0.0825147347740668,3,3
IE0162,0.10726643598615918,4,3
NI0102,0.16477702191987906,5,4
IE0109,0.16321243523316062,5,4
IE0163,0.08780487804878048,4,3
IA0204,0.0967741935483871,4,3
TA0023,0.08695652173913043,4,3
NI0101,0.03282828282828283,2,1
IA0102,0.17518248175182483,5,4
TA0006,0.14338235294117646,4,4
TS0101,0.08687943262411348,4,3
TS0190,0.29080118694362017,5,4
IL0308,0.19047619047619047,5,4
II0211,0.45588235294117646,5,4
II3474,0.0,1,1
IL0204,0.2547584187408492,5,4
II0214,0.043478260869565216,2,2
II0218,0.40976645435244163,5,4
II0108,0.13409961685823754,4,4
II0266,0.17973856209150327,5,4
II3487,0.012345679012345678,1,1
II0163,0.014814814814814815,1,1
II3479,0.030612244897959183,2,1
TA0010,0.11363636363636363,4,3
AD0007,0.02564102564102564,2,1
TS0268,0.08609271523178808,3,3
TS0213,0.06502242152466367,3,2
IT0106,0.09523809523809523,4,3
IT0103,0.18110236220472442,5,4
II0209,0.33371958285052145,5,4
II0320,0.27692307692307694,5,4
IT0208,0.15384615384615385,5,4
II0215,0.22946175637393768,5,4
IA0101,0.11904761904761904,4,3
NI0316,0.03888888888888889,2,2
NI3475,0.046153846153846156,2,2
NI3468,0.048859934853420196,2,2
NI3476,0.06382978723404255,3,2
IE0266,0.04504504504504504,2,2
IE3421,0.09803921568627451,4,3
IA3424,0.023529411764705882,1,1
IA0307,0.03875968992248062,2,2
TA0020,0.07738095238095238,3,3
AD0014,0.11607142857142858,4,3
IT0105,0.06666666666666667,3,2
TA0009,0.07432432432432433,3,3
GA0271,0.15348837209302327,5,4
II0268,0.02843601895734597,2,1
II3488,0.0,1,1
II3429,0.060240963855421686,3,2
II3431,0.06451612903225806,3,2
II0269,0.04878048780487805,2,2
IL0309,0.046948356807511735,2,2
II0318,0.1844380403458213,5,4
II0210,0.07602339181286549,3,3
GA0214,0.10050251256281408,4,3
TS3430,0.0847457627118644,3,3
TS3432,0.022727272727272728,1,1
TS0424,0.04842105263157895,2,2
TS0273,0.06369426751592357,3,2
TS0207,0.05066079295154185,2,2
TS3477,0.06043956043956044,3,2
TS0316,0.04856512141280353,2,2
TS3427,0.03289473684210526,2,1
TS0320,0.04417670682730924,2,2
