gen,evals,avg_upcc,avg_upmr,avg_upcm,avg_cpdh,avg_cpah,avg_cprr,std_upcc,std_upmr,std_upcm,std_cpdh,std_cpah,std_cprr,min_upcc,min_upmr,min_upcm,min_cpdh,min_cpah,min_cprr,max_upcc,max_upmr,max_upcm,max_cpdh,max_cpah,max_cprr
0,1000,0.007581818181818181,0.018,0.013666666666666664,0.988177777777778,0.9984285714285712,0.982,0.0632536831319095,0.1329511188369625,0.10504972367619253,0.08791964906298295,0.022532969042661777,0.1329511188369625,0.0,0.0,0.0,0.24444444444444444,0.5714285714285714,-0.0,0.8181818181818182,1.0,1.0,1.0,1.0,1.0
1,1000,0.018000000000000002,0.04,0.02933333333333334,0.9737555555555556,0.9965714285714286,0.96,0.09997007816805219,0.19595917942266255,0.15064896651192713,0.12937883697417518,0.034824340537583924,0.19595917942266255,0.0,0.0,0.0,0.24444444444444444,0.5714285714285714,-0.0,0.8545454545454545,1.0,1.0,1.0,1.0,1.0
2,1000,0.03154545454545455,0.071,0.04933333333333333,0.9535111111111111,0.9938571428571429,0.929,0.12999272071165083,0.25682484303509556,0.18917834031527356,0.16953026751863315,0.04676275336248757,0.25682484303509556,0.0,0.0,0.0,0.17777777777777778,0.42857142857142855,-0.0,0.8909090909090909,1.0,1.0,1.0,1.0,1.0
3,1000,0.04460000000000001,0.106,0.07233333333333329,0.9305999999999999,0.9908571428571429,0.894,0.14921257895703366,0.30783761953341066,0.2240810865140892,0.20318922762346864,0.0599155868787121,0.30783761953341066,0.0,0.0,0.0,0.17777777777777778,0.2857142857142857,-0.0,0.8909090909090909,1.0,1.0,1.0,1.0,1.0
4,1000,0.05803636363636366,0.137,0.09366666666666665,0.9099777777777778,0.9872857142857143,0.863,0.168908147565621,0.34384734985165355,0.253429586977438,0.22818489254371735,0.07410403607945323,0.34384734985165355,0.0,0.0,0.0,0.13333333333333333,0.14285714285714285,-0.0,0.8909090909090909,1.0,1.0,1.0,1.0,1.0
5,1000,0.08060000000000006,0.195,0.1360000000000001,0.8714666666666667,0.9795714285714285,0.805,0.19238349356179496,0.39620070671315566,0.29917219122104133,0.26383247958495903,0.09820335004053708,0.39620070671315566,0.0,0.0,0.0,0.13333333333333333,-0.0,-0.0,0.8909090909090909,1.0,1.0,1.0,1.0,1.0
6,1000,0.11172727272727272,0.27,0.1903333333333333,0.8206888888888889,0.9695714285714284,0.73,0.21907995068784375,0.4439594576084658,0.33910978228952543,0.29816412664797254,0.12068097596217531,0.4439594576084658,0.0,0.0,0.0,0.1111111111111111,-0.0,-0.0,0.9454545454545454,1.0,1.0,1.0,1.0,1.0
7,1000,0.1512181818181817,0.374,0.2629999999999996,0.7501333333333334,0.9525714285714285,0.626,0.24036646333091644,0.48386361714845977,0.37334508910062625,0.3274717697756553,0.1547727761749425,0.48386361714845977,0.0,0.0,0.0,0.1111111111111111,-0.0,-0.0,0.9454545454545454,1.0,1.0,1.0,1.0,1.0
8,1000,0.2001454545454545,0.493,0.3483333333333335,0.6694444444444445,0.9372857142857144,0.507,0.2587688179766373,0.4999509975987703,0.39538659000471,0.3405553742975776,0.1796981028371332,0.4999509975987703,0.0,0.0,0.0,0.1111111111111111,-0.0,-0.0,0.9454545454545454,1.0,1.0,1.0,1.0,1.0
9,1000,0.2614000000000002,0.655,0.46600000000000114,0.5597777777777776,0.9164285714285717,0.345,0.26443444781284153,0.47536827828537115,0.39463006587041455,0.3271409255736519,0.20166526114087766,0.47536827828537115,0.0,0.0,0.0,0.1111111111111111,-0.0,-0.0,0.9454545454545454,1.0,1.0,1.0,1.0,1.0
