gen,evals,avg_upcc,avg_upmr,avg_upcm,avg_cpdh,avg_cpah,avg_cprr,std_upcc,std_upmr,std_upcm,std_cpdh,std_cpah,std_cprr,min_upcc,min_upmr,min_upcm,min_cpdh,min_cpah,min_cprr,max_upcc,max_upmr,max_upcm,max_cpdh,max_cpah,max_cprr
0,1000,0.01231034482758621,0.013,0.0116,0.984,0.9954285714285712,0.981,0.09231821485650873,0.11327400407860509,0.0868644921702766,0.11670047129296465,0.04715930449020597,0.1365247230357931,0.0,0.0,0.0,0.0,0.14285714285714285,-0.0,0.8620689655172413,1.0,0.8,1.0,1.0,1.0
1,1000,0.027586206896551713,0.029,0.02540000000000001,0.966875,0.9891428571428571,0.959,0.1382840310597561,0.16780643611018373,0.12757288113074916,0.1632087907405697,0.0731540170057795,0.19829019138625567,0.0,0.0,0.0,0.0,0.14285714285714285,-0.0,0.8620689655172413,1.0,0.8,1.0,1.0,1.0
2,1000,0.04955172413793103,0.051,0.04560000000000001,0.9385,0.9807142857142858,0.925,0.18050672169065063,0.21999772726098465,0.1673339176616616,0.219514236440374,0.09655018785849212,0.26339134382130974,0.0,0.0,0.0,0.0,-0.0,-0.0,0.9310344827586207,1.0,1.0,1.0,1.0,1.0
3,1000,0.06693103448275864,0.071,0.06199999999999999,0.916625,0.9744285714285713,0.899,0.20735443298831907,0.25682484303509556,0.193277003288029,0.2528620856811045,0.10623030429694162,0.30132872415353196,0.0,0.0,0.0,0.0,-0.0,-0.0,0.9310344827586207,1.0,1.0,1.0,1.0,1.0
4,1000,0.08382758620689658,0.09,0.07839999999999994,0.89625,0.9682857142857142,0.873,0.22811651642395114,0.286181760425082,0.21506612936489555,0.2774070790372903,0.12094154432144777,0.33297297187610564,0.0,0.0,0.0,0.0,-0.0,-0.0,0.9310344827586207,1.0,1.0,1.0,1.0,1.0
5,1000,0.10972413793103457,0.119,0.10239999999999991,0.864125,0.9574285714285713,0.832,0.25390851011753107,0.3237885112229916,0.23948745269846908,0.3090669173091875,0.14193962499195412,0.37386628625752716,0.0,0.0,0.0,0.0,-0.0,-0.0,0.9310344827586207,1.0,1.0,1.0,1.0,1.0
6,1000,0.14679310344827584,0.16,0.1357999999999998,0.815625,0.9408571428571428,0.774,0.28424954076809955,0.3666060555964642,0.2659292387083485,0.34918152066654146,0.1655297001527291,0.41823916602823724,0.0,0.0,0.0,0.0,-0.0,-0.0,0.9310344827586207,1.0,1.0,1.0,1.0,1.0
7,1000,0.18003448275862063,0.195,0.16559999999999975,0.769375,0.9238571428571432,0.719,0.3031545580854567,0.39620070671315544,0.28301349791131897,0.37829748132256713,0.1897856470777903,0.4494874859214596,0.0,0.0,0.0,0.0,-0.0,-0.0,0.9310344827586207,1.0,1.0,1.0,1.0,1.0
8,1000,0.2268275862068966,0.244,0.20659999999999978,0.704,0.8958571428571432,0.641,0.3233003043633341,0.42949272403616506,0.29919298120109766,0.4063668293549536,0.22358667223249704,0.4797072023641136,0.0,0.0,0.0,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,1.0,1.0,1.0
9,1000,0.2981724137931034,0.325,0.26679999999999987,0.614625,0.8592857142857144,0.533,0.3437161242631429,0.46837484987988176,0.31397095407059367,0.42544298604513164,0.25333590671803907,0.49890981148900515,0.0,0.0,0.0,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,1.0,1.0,1.0
10,1000,0.37341379310344863,0.409,0.3310000000000003,0.5115,0.8145714285714292,0.408,0.344192102363449,0.4916492652287822,0.31304791965448364,0.4229645375205795,0.27749594591633425,0.4914631217090424,0.0,0.0,0.0,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,1.0,1.0,1.0
11,1000,0.4904482758620702,0.546,0.4308000000000006,0.3505,0.7435714285714293,0.217,0.31164339624148596,0.49787950349456744,0.2858170043926715,0.3685186562441597,0.3008482904680544,0.41220262007900954,0.0,0.0,0.0,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,1.0,1.0,1.0
12,1000,0.6197241379310373,0.689,0.5414000000000023,0.171375,0.661428571428569,0.001,0.19912775313593428,0.4629027975720164,0.19830794235229232,0.15679200992078668,0.3021386355665873,0.03160696125855822,0.0,0.0,0.0,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,1.0,1.0,1.0
13,1000,0.6653793103448321,0.76,0.5496000000000006,0.127375,0.596,0.0,0.1846498888454954,0.42708313008125126,0.20104686020925489,0.12994223476222036,0.3178504333160224,0.0,0.10344827586206896,0.0,0.0,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.5,1.0,-0.0
14,1000,0.6965517241379351,0.857,0.547600000000002,0.112375,0.5437142857142869,0.0,0.1728890002889932,0.350072849561344,0.20172813388320326,0.12098547175177785,0.3205341205690594,0.0,0.13793103448275862,0.0,0.0,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.5,1.0,-0.0
15,1000,0.7400344827586247,0.924,0.5658000000000019,0.1005,0.51457142857143,0.0,0.14175928333416127,0.2649981132008292,0.2068583089943455,0.11316359838746726,0.32550105802517804,0.0,0.20689655172413793,0.0,0.0,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.5,1.0,-0.0
16,1000,0.7609310344827598,0.96,0.5706000000000022,0.082375,0.47300000000000225,0.0,0.1252275503150456,0.19595917942265426,0.20311484436150898,0.09848215257090998,0.3236992494301344,0.0,0.2413793103448276,0.0,0.0,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.5,1.0,-0.0
17,1000,0.7774137931034453,0.977,0.5738000000000019,0.073875,0.41571428571428676,0.0,0.11236287719360327,0.14990330216509604,0.20763805046281852,0.09200195310426872,0.3131766144473991,0.0,0.27586206896551724,0.0,0.19999999999999996,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.5,1.0,-0.0
18,1000,0.7886896551724086,0.988,0.5715999999999996,0.06675,0.37457142857142967,0.0,0.09796755025867547,0.10888526071052994,0.20974613226469827,0.08522433631305014,0.3018012591093663,0.0,0.27586206896551724,0.0,0.0,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.5,1.0,-0.0
19,1000,0.7970344827586145,0.991,0.5551999999999994,0.058375,0.30528571428571405,0.0,0.0874598871873571,0.09444045743218313,0.21539025047573496,0.07855243073896588,0.2779748557121014,0.0,0.27586206896551724,0.0,0.0,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.375,1.0,-0.0
20,1000,0.8056896551724029,1.0,0.5421999999999967,0.055625,0.25228571428571395,0.0,0.07252680016362123,0.0,0.2183097799000317,0.07592914048637665,0.2499487294365359,0.0,0.5172413793103449,1.0,0.19999999999999996,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.375,1.0,-0.0
21,1000,0.8113103448275749,1.0,0.5467999999999983,0.049625,0.22699999999999984,0.0,0.06708838474296237,0.0,0.21064130649044088,0.07174074417651366,0.23132621193139918,0.0,0.5517241379310345,1.0,0.19999999999999996,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.375,1.0,-0.0
22,1000,0.8136896551724063,1.0,0.5593999999999992,0.04125,0.21099999999999966,0.0,0.0666739185512758,0.0,0.1967527382274514,0.06790388427770559,0.21416525185482646,0.0,0.5517241379310345,1.0,0.19999999999999996,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.375,0.8571428571428571,-0.0
23,1000,0.8209310344827515,1.0,0.5830000000000009,0.029,0.20785714285714105,0.0,0.06225786389784387,0.0,0.1727165307664549,0.05838664230797973,0.19856500503484878,0.0,0.5517241379310345,1.0,0.19999999999999996,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.375,0.8571428571428571,-0.0
24,1000,0.8245172413793056,1.0,0.5970000000000008,0.01975,0.19771428571428418,0.0,0.058428477981537254,0.0,0.15056892109595557,0.04921826388648837,0.1794858871150304,0.0,0.5862068965517241,1.0,0.19999999999999996,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.375,0.8571428571428571,-0.0
25,1000,0.8304482758620626,1.0,0.6082000000000051,0.0155,0.18814285714285497,0.0,0.05308677525986159,0.0,0.13904229572327995,0.045177427992306146,0.16127748935120576,0.0,0.5862068965517241,1.0,0.19999999999999996,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.375,0.8571428571428571,-0.0
26,1000,0.8379310344827502,1.0,0.6160000000000089,0.00925,0.17928571428571166,0.0,0.046057400985004465,0.0,0.12705904139414864,0.0345787145510069,0.14141955238197532,0.0,0.5862068965517241,1.0,0.19999999999999996,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.25,0.8571428571428571,-0.0
27,1000,0.8424137931034377,1.0,0.6240000000000079,0.003375,0.17114285714285543,0.0,0.04150985155907673,0.0,0.11655041827466833,0.020260413988860075,0.12010165762080494,0.0,0.5862068965517241,1.0,0.4,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.125,0.7142857142857143,-0.0
28,1000,0.8453448275861966,1.0,0.6338000000000082,0.00325,0.17357142857142674,0.0,0.04177647045823371,0.0,0.11600672394305422,0.020662465970933668,0.11975953798664805,0.0,0.5862068965517241,1.0,0.4,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.25,0.7142857142857143,-0.0
29,1000,0.8467241379310249,1.0,0.6382000000000092,0.003125,0.17071428571428393,0.0,0.04365815482540029,0.0,0.11498156373958439,0.020300477211139496,0.11666933913362712,0.0,0.5862068965517241,1.0,0.4,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.25,0.7142857142857143,-0.0
30,1000,0.8482758620689554,1.0,0.6444000000000099,0.0035,0.16528571428571262,0.0,0.044132542774554744,0.0,0.1153630790157748,0.021365860619221373,0.11233613916841402,0.0,0.5862068965517241,1.0,0.4,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.25,0.5714285714285714,-0.0
31,1000,0.8494827586206819,0.999,0.6518000000000086,0.003625,0.16385714285714148,0.0,0.04910343616815034,0.03160696125855848,0.11998649924054061,0.021707933457609657,0.1182690637004104,0.0,0.5862068965517241,0.0,0.19999999999999996,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.25,1.0,-0.0
32,1000,0.8516551724137829,0.999,0.6548000000000076,0.003875,0.15457142857142733,0.0,0.050523960951237464,0.03160696125855825,0.1244064307019542,0.022374301665080004,0.11457784093206352,0.0,0.5862068965517241,0.0,0.19999999999999996,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.25,0.5714285714285714,-0.0
33,1000,0.8540689655172283,0.998,0.6608000000000064,0.004875,0.14614285714285596,0.0,0.055646412163610916,0.04467661580737694,0.13230026455000102,0.025457992359963905,0.11662525018018964,0.0,0.5862068965517241,0.0,0.19999999999999996,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.25,0.7142857142857143,-0.0
34,1000,0.8588275862068804,0.999,0.6700000000000058,0.005625,0.1382857142857131,0.0,0.058164185997047896,0.03160696125855825,0.14135062787267577,0.027662869970413693,0.1187499516648665,0.0,0.5862068965517241,0.0,0.19999999999999996,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.25,0.7142857142857143,-0.0
35,1000,0.8639999999999788,1.0,0.6808000000000038,0.007,0.12999999999999873,0.0,0.05862945167782806,0.0,0.14842964663435723,0.030838287890218103,0.12137814078830059,0.0,0.5862068965517241,1.0,0.19999999999999996,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.25,0.7142857142857143,-0.0
36,1000,0.8688275862068842,1.0,0.6908000000000015,0.008125,0.11957142857142788,0.0,0.05604465690127768,0.0,0.148846766844296,0.03278123510485815,0.11697121571618643,0.0,0.6551724137931034,1.0,0.4,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.25,0.5714285714285714,-0.0
37,1000,0.8702758620689555,1.0,0.695200000000002,0.009,0.11571428571428512,0.0,0.05542352338235215,0.0,0.1482462815722539,0.034190641994557486,0.11744733948038272,0.0,0.6551724137931034,1.0,0.4,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.25,0.5714285714285714,-0.0
38,1000,0.8705862068965441,1.0,0.7010000000000037,0.010125,0.1085714285714281,0.0,0.0565348061321477,0.0,0.1475093217393401,0.03589024066511702,0.11731694381513055,0.0,0.6551724137931034,1.0,0.4,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.25,0.5714285714285714,-0.0
39,1000,0.8713448275862012,1.0,0.7046000000000058,0.0115,0.1005714285714283,0.0,0.055907165705032874,0.0,0.14552951590656898,0.03822956970723106,0.11270188235213499,0.0,0.6551724137931034,1.0,0.4,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.25,0.5714285714285714,-0.0
40,1000,0.8714137931034419,1.0,0.7066000000000063,0.01375,0.09114285714285719,0.0,0.054886749688060524,0.0,0.1460015068415398,0.0418143217091948,0.10869879747002097,0.0,0.6551724137931034,1.0,0.4,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.25,0.5714285714285714,-0.0
41,1000,0.8728275862068865,1.0,0.7124000000000075,0.015125,0.07900000000000018,0.0,0.052958332846077,0.0,0.14313015056234646,0.04336599330120293,0.0984772842345083,0.0,0.6551724137931034,1.0,0.4,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.25,0.5714285714285714,-0.0
42,1000,0.8744482758620548,1.0,0.7226000000000102,0.016625,0.06957142857142898,0.0,0.05110106327907605,0.0,0.14187755284046785,0.045296074609175764,0.09495767048360686,0.0,0.6551724137931034,1.0,0.4,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.25,0.5714285714285714,-0.0
43,1000,0.875655172413775,1.0,0.7376000000000137,0.0185,0.0574285714285719,0.0,0.0486043503971275,0.0,0.13094365200344704,0.04777813307361475,0.08359230508478445,0.0,0.7931034482758621,1.0,0.4,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.25,0.42857142857142855,-0.0
44,1000,0.8757586206896434,1.0,0.7438000000000042,0.01875,0.05385714285714321,0.0,0.04809561177052928,0.0,0.13267087095515734,0.048007160924178525,0.07990696120476314,0.0,0.7931034482758621,1.0,0.6,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.25,0.42857142857142855,-0.0
45,1000,0.8744482758620586,1.0,0.7490000000000041,0.02125,0.049285714285714544,0.0,0.04715596355637171,0.0,0.13534770038681884,0.04985917668794717,0.07953628359537049,0.0,0.7931034482758621,1.0,0.6,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.25,0.42857142857142855,-0.0
46,1000,0.8723103448275755,1.0,0.7518000000000064,0.02275,0.04257142857142869,0.0,0.045808771208355914,0.0,0.13840794774867482,0.05013668816345936,0.0749416099237218,0.0,0.7931034482758621,1.0,0.6,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.25,0.42857142857142855,-0.0
47,1000,0.8711724137930944,1.0,0.7568000000000049,0.024125,0.038285714285714346,0.0,0.044538911363501944,0.0,0.13962005586591064,0.0511967711384227,0.07230547443073043,0.0,0.7931034482758621,1.0,0.6,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.25,0.42857142857142855,-0.0
48,1000,0.8709310344827503,1.0,0.7674000000000051,0.0265,0.03342857142857139,0.0,0.042888443074399894,0.0,0.1417647346839135,0.05289376144688474,0.06810016632183248,0.0,0.7931034482758621,1.0,0.6,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.25,0.42857142857142855,-0.0
49,1000,0.8702758620689586,1.0,0.7776000000000042,0.029125,0.028285714285714227,0.0,0.04099470688839733,0.0,0.14331168828815186,0.05458808821528779,0.0649640402885494,0.0,0.7931034482758621,1.0,0.6,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.25,0.42857142857142855,-0.0
50,1000,0.8706206896551665,1.0,0.7924000000000027,0.031625,0.02185714285714282,0.0,0.038375081094237595,0.0,0.1406493512249539,0.0546281463624749,0.05598669667056286,0.0,0.7931034482758621,1.0,0.6,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.25,0.42857142857142855,-0.0
51,1000,0.871379310344822,1.0,0.8087999999999995,0.03425,0.016999999999999984,0.0,0.0363478373418452,0.0,0.14000914255861963,0.05575112106496102,0.04883102894425929,0.0,0.7931034482758621,1.0,0.6,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.125,0.42857142857142855,-0.0
52,1000,0.8731724137930968,1.0,0.826399999999995,0.03625,0.014285714285714277,0.0,0.03455709229411561,0.0,0.13543647957621932,0.05672025652269259,0.045624912636202955,0.0,0.7931034482758621,1.0,0.6,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.125,0.42857142857142855,-0.0
53,1000,0.8768275862068878,1.0,0.8551999999999873,0.0385,0.011571428571428571,0.0,0.031050111007515882,0.0,0.11896621369111443,0.0577083182912135,0.04200072885664892,0.0,0.7931034482758621,1.0,0.6,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.125,0.42857142857142855,-0.0
54,1000,0.8797241379310251,1.0,0.878399999999991,0.0415,0.008571428571428579,0.0,0.02692871639986048,0.0,0.09763933633531059,0.05886637410270789,0.03392669167725114,0.0,0.8620689655172413,1.0,0.8,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.125,0.14285714285714285,-0.0
55,1000,0.8792068965517147,1.0,0.8781999999999914,0.04225,0.007571428571428579,0.0,0.025987992288033834,0.0,0.09759487691472311,0.0591285675456462,0.032004782805839335,0.0,0.8620689655172413,1.0,0.8,0.0,-0.0,-0.0,0.9655172413793104,1.0,1.0,0.125,0.14285714285714285,-0.0
