gen,evals,avg_upcc,avg_upmr,avg_upcm,avg_cpdh,avg_cpah,avg_cprr,std_upcc,std_upmr,std_upcm,std_cpdh,std_cpah,std_cprr,min_upcc,min_upmr,min_upcm,min_cpdh,min_cpah,min_cprr,max_upcc,max_upmr,max_upcm,max_cpdh,max_cpah,max_cprr
0,1000,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
1,1000,0.0009230769230769232,0.002,0.002,0.9983,0.9991428571428571,0.9988661408578449,0.0206199765264819,0.04467661580737616,0.04467661580737616,0.03797512343627046,0.019147121060305042,0.025328494838848577,0.0,0.0,0.0,0.15,0.5714285714285714,0.4329989048674968,0.46153846153846156,1.0,1.0,1.0,1.0,1.0
2,1000,0.0018461538461538463,0.004,0.004,0.9965499999999999,0.9985714285714286,0.9977325778222352,0.029131816316417668,0.06311893535223813,0.06311893535223813,0.05445729978616115,0.02386184726927062,0.035779319076627715,0.0,0.0,0.0,0.1,0.5714285714285714,0.4329989048674968,0.46153846153846156,1.0,1.0,1.0,1.0,1.0
3,1000,0.0027692307692307695,0.006,0.006,0.994775,0.9977142857142858,0.9965986758804531,0.03564320229472315,0.07722693830522938,0.07722693830522938,0.06729282558341404,0.03055406716638788,0.04377897549294222,0.0,0.0,0.0,0.075,0.5714285714285714,0.4329561052405325,0.46153846153846156,1.0,1.0,1.0,1.0,1.0
4,1000,0.003461538461538462,0.008,0.0078,0.993075,0.9967142857142858,0.9954642933933101,0.039145835662355674,0.0890842298052807,0.08705837122298883,0.07715354415060872,0.03792339216722736,0.050507495504766416,0.0,0.0,0.0,0.075,0.42857142857142855,0.43247555987961694,0.46153846153846156,1.0,1.0,1.0,1.0,1.0
5,1000,0.003923076923076924,0.009,0.0088,0.992225,0.9962857142857142,0.9948974353462873,0.04173734439515512,0.09444045743218199,0.09253410182197748,0.08162520673786948,0.040235023833186064,0.05354317525152265,0.0,0.0,0.0,0.075,0.42857142857142855,0.43247555987961694,0.46153846153846156,1.0,1.0,1.0,1.0,1.0
6,1000,0.007076923076923079,0.015,0.014600000000000002,0.987075,0.994,0.9914987793561082,0.05845829950541819,0.12155245781143363,0.11860370989138366,0.10477866851129979,0.05035303934648549,0.06888963434295858,0.0,0.0,0.0,0.075,0.42857142857142855,0.43247555987961694,0.6153846153846154,1.0,1.0,1.0,1.0,1.0
7,1000,0.011230769230769233,0.024,0.023200000000000002,0.97945,0.9905714285714285,0.9863985421901706,0.07275979772979388,0.1530490117576681,0.14839730455773412,0.1310875566177003,0.06221162041199219,0.08673708591389977,0.0,0.0,0.0,0.075,0.42857142857142855,0.43247555987961694,0.6153846153846154,1.0,1.0,1.0,1.0,1.0
8,1000,0.016000000000000004,0.034,0.032799999999999996,0.9709,0.987,0.9807319380560228,0.08643963587896364,0.1812291367302776,0.17539714934969336,0.15515537373871,0.07209956268088707,0.10270396410829817,0.0,0.0,0.0,0.075,0.42857142857142855,0.43247555987961694,0.6153846153846154,1.0,1.0,1.0,1.0,1.0
9,1000,0.02269230769230767,0.048,0.04659999999999999,0.959,0.9825714285714285,0.97279877560749,0.10216516966897964,0.21376622745420326,0.20810679950448693,0.1826957853919964,0.08195518934896508,0.12113966740173714,0.0,0.0,0.0,0.075,0.42857142857142855,0.43247555987961694,0.6153846153846154,1.0,1.0,1.0,1.0,1.0
