gen,evals,avg_upcc,avg_upmr,avg_upcm,avg_cpdh,avg_cpah,avg_cprr,std_upcc,std_upmr,std_upcm,std_cpdh,std_cpah,std_cprr,min_upcc,min_upmr,min_upcm,min_cpdh,min_cpah,min_cprr,max_upcc,max_upmr,max_upcm,max_cpdh,max_cpah,max_cprr
0,1000,0.0022222222222222222,0.004,0.002,0.996,0.9975714285714286,0.996,0.035066075195688114,0.0631189353522381,0.03155946767611905,0.0631189353522381,0.043497830112429844,0.0631189353522381,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,1.0,1.0,1.0
1,1000,0.005333333333333333,0.01,0.0045,0.99,0.9927142857142858,0.99,0.05325178951377678,0.09949874371066084,0.045877554424794104,0.09949874371066084,0.07803701371915742,0.09949874371066084,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,1.0,1.0,1.0
2,1000,0.007333333333333332,0.014,0.006,0.986,0.9912857142857142,0.986,0.06202787107521328,0.11749042514179929,0.05328226721903024,0.11749042514179929,0.08345584192266402,0.11749042514179929,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,1.0,1.0,1.0
3,1000,0.011111111111111112,0.021,0.00925,0.979,0.9855714285714285,0.979,0.0763358401658558,0.1433840995368685,0.06596921630578771,0.1433840995368685,0.10830785676364973,0.1433840995368685,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,1.0,1.0,1.0
4,1000,0.013666666666666666,0.026,0.01125,0.974,0.9817142857142858,0.974,0.08417141534091958,0.15913516267625644,0.07201345360417177,0.15913516267625644,0.12252579903257842,0.15913516267625644,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,1.0,1.0,1.0
5,1000,0.017777777777777767,0.034,0.0145,0.966,0.9778571428571429,0.966,0.09534861312411233,0.1812291367302776,0.08086872077633164,0.1812291367302776,0.1334759016696616,0.1812291367302776,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,1.0,1.0,1.0
6,1000,0.022666666666666665,0.044,0.018,0.956,0.9705714285714285,0.956,0.10648039290909027,0.2050950998927097,0.08902808545621989,0.2050950998927097,0.15409803399664992,0.2050950998927097,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,1.0,1.0,1.0
7,1000,0.028777777777777777,0.056,0.02275,0.944,0.9611428571428571,0.944,0.11904553543149869,0.22992172581119424,0.098969376576801,0.22992172581119424,0.1784294292556259,0.22992172581119424,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,1.0,1.0,1.0
8,1000,0.03344444444444444,0.066,0.02575,0.934,0.9544285714285714,0.934,0.12690032055918607,0.24828209762284745,0.10379998795760674,0.2482820976228479,0.19300200908333018,0.2482820976228479,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,1.0,1.0,1.0
9,1000,0.0421111111111111,0.083,0.0325,0.917,0.941,0.917,0.14113118842296762,0.27588222124667783,0.11540688887583612,0.27588222124667783,0.21910909592796,0.27588222124667783,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,1.0,1.0,1.0
10,1000,0.05177777777777778,0.103,0.03925,0.897,0.9271428571428572,0.897,0.15431425368024115,0.30395887879777755,0.12558637465903924,0.30395887879777755,0.24057329486890333,0.30395887879777755,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,1.0,1.0,1.0
11,1000,0.06488888888888888,0.129,0.04925,0.871,0.9064285714285715,0.871,0.17036431551237807,0.33519994033413236,0.13923698323362527,0.33519994033413236,0.27142763157731886,0.33519994033413236,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,1.0,1.0,1.0
12,1000,0.0831111111111111,0.165,0.06325,0.835,0.8797142857142858,0.835,0.18897043991189272,0.37118054905934444,0.15511910746262034,0.37118054905934444,0.302743779322336,0.37118054905934444,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,1.0,1.0,1.0
13,1000,0.10377777777777775,0.207,0.07825,0.793,0.8487142857142858,0.793,0.2054096779669103,0.4051555256935196,0.16789710390593085,0.4051555256935196,0.33220103945088064,0.4051555256935196,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,1.0,1.0,1.0
14,1000,0.12822222222222215,0.259,0.09425,0.741,0.8084285714285715,0.741,0.21988448145602946,0.438085608072214,0.17903753098163636,0.438085608072214,0.36440387439415484,0.438085608072214,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,1.0,1.0,1.0
15,1000,0.16033333333333358,0.327,0.1155,0.673,0.7614285714285713,0.673,0.2336175781903112,0.46911725613113553,0.18949868073419213,0.46911725613113553,0.39308045601119057,0.46911725613113553,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.5555555555555556,1.0,0.5,1.0,1.0,1.0
