gen,evals,avg_upcc,avg_upmr,avg_upcm,avg_cpdh,avg_cpah,avg_cprr,std_upcc,std_upmr,std_upcm,std_cpdh,std_cpah,std_cprr,min_upcc,min_upmr,min_upcm,min_cpdh,min_cpah,min_cprr,max_upcc,max_upmr,max_upcm,max_cpdh,max_cpah,max_cprr
0,1000,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
1,1000,0.0005483870967741935,0.0,0.001,0.9991555555555556,0.9994285714285714,0.999,0.017332849722434856,0.0,0.03160696125855867,0.026690322840561175,0.018061120719176853,0.03160696125855867,0.0,0.0,0.0,0.15555555555555556,0.42857142857142855,-0.0,0.5483870967741935,0.0,1.0,1.0,1.0,1.0
2,1000,0.0024193548387096775,0.003,0.004,0.9966222222222223,0.9971428571428571,0.996,0.0390492498339084,0.05469003565550059,0.06311893535223813,0.05338375394429534,0.04642307659791792,0.06311893535223813,0.0,0.0,0.0,0.08888888888888889,-0.0,-0.0,0.7419354838709677,1.0,1.0,1.0,1.0,1.0
3,1000,0.003838709677419355,0.005,0.006,0.9949333333333334,0.9955714285714286,0.994,0.05025262921456015,0.07053367989832901,0.07722693830522938,0.06535002054464548,0.058908264899497007,0.07722693830522938,0.0,0.0,0.0,0.08888888888888889,-0.0,-0.0,0.7419354838709677,1.0,1.0,1.0,1.0,1.0
4,1000,0.004548387096774194,0.006,0.007,0.9940888888888889,0.995,0.993,0.05498196658290601,0.07722693830522938,0.0833726573883773,0.07052972055439828,0.061573748713329025,0.0833726573883773,0.0,0.0,0.0,0.08888888888888889,-0.0,-0.0,0.7419354838709677,1.0,1.0,1.0,1.0,1.0
5,1000,0.007838709677419354,0.01,0.011,0.9909777777777777,0.9931428571428571,0.989,0.07551385536255496,0.09949874371066084,0.10430244484191172,0.08571893203162312,0.06906016306416618,0.10430244484191172,0.0,0.0,0.0,0.08888888888888889,-0.0,-0.0,0.9032258064516129,1.0,1.0,1.0,1.0,1.0
6,1000,0.009580645161290324,0.013,0.014,0.9886222222222223,0.9915714285714285,0.986,0.0820192041165539,0.11327400407860422,0.11749042514179929,0.09565332466003548,0.0747129199547388,0.11749042514179929,0.0,0.0,0.0,0.08888888888888889,-0.0,-0.0,0.9032258064516129,1.0,1.0,1.0,1.0,1.0
7,1000,0.013129032258064516,0.018,0.019,0.9846444444444444,0.989,0.981,0.0959282976678164,0.1329511188369587,0.13652472303579882,0.11050393881589489,0.08318543337947246,0.13652472303579882,0.0,0.0,0.0,0.08888888888888889,-0.0,-0.0,0.9032258064516129,1.0,1.0,1.0,1.0,1.0
8,1000,0.01887096774193548,0.026,0.027,0.9783333333333334,0.984,0.973,0.11507033093458496,0.15913516267625644,0.1620833119108805,0.13029193242223852,0.10176563711764118,0.1620833119108805,0.0,0.0,0.0,0.08888888888888889,-0.0,-0.0,0.9032258064516129,1.0,1.0,1.0,1.0,1.0
9,1000,0.02648387096774193,0.036,0.037,0.9703555555555556,0.9772857142857142,0.963,0.1368858301252363,0.18629009635512941,0.18876175460086436,0.15151978072388975,0.12203370227030076,0.18876175460086436,0.0,0.0,0.0,0.08888888888888889,-0.0,-0.0,0.9032258064516129,1.0,1.0,1.0,1.0,1.0
