gen,evals,avg_upcc,avg_upmr,avg_upcm,avg_cpdh,avg_cpah,avg_cprr,std_upcc,std_upmr,std_upcm,std_cpdh,std_cpah,std_cprr,min_upcc,min_upmr,min_upcm,min_cpdh,min_cpah,min_cprr,max_upcc,max_upmr,max_upcm,max_cpdh,max_cpah,max_cprr
0,1000,0.0021358024691358023,0.004,0.004,0.996,0.9994285714285714,0.996,0.035881290416892614,0.0631189353522381,0.0631189353522381,0.0631189353522381,0.012764747373536358,0.0631189353522381,0.0,0.0,0.0,-0.0,0.7142857142857143,-0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0
1,1000,0.005518518518518518,0.012,0.012,0.988,0.9987142857142858,0.988,0.05471405348010944,0.10888526071053226,0.10888526071053226,0.10888526071053226,0.01858186519932109,0.10888526071053226,0.0,0.0,0.0,-0.0,0.7142857142857143,-0.0,0.7037037037037037,1.0,1.0,1.0,1.0,1.0
2,1000,0.009358024691358022,0.019,0.019,0.981,0.9964285714285714,0.981,0.07213874673622792,0.13652472303579882,0.13652472303579882,0.13652472303579882,0.03843228872089861,0.13652472303579882,0.0,0.0,0.0,-0.0,0.42857142857142855,-0.0,0.7777777777777778,1.0,1.0,1.0,1.0,1.0
3,1000,0.014246913580246915,0.028,0.028,0.972,0.996,0.972,0.08857134983494284,0.16497272501840857,0.16497272501840857,0.16497272501840857,0.03969681013247655,0.16497272501840857,0.0,0.0,0.0,-0.0,0.42857142857142855,-0.0,0.7777777777777778,1.0,1.0,1.0,1.0,1.0
4,1000,0.019024691358024693,0.041,0.041,0.959,0.994,0.959,0.09887826810615574,0.19829019138625567,0.19829019138625567,0.19829019138625567,0.04953580440820044,0.19829019138625567,0.0,0.0,0.0,-0.0,0.42857142857142855,-0.0,0.7777777777777778,1.0,1.0,1.0,1.0,1.0
5,1000,0.024469135802469132,0.055,0.055,0.945,0.9915714285714285,0.945,0.1100938868565484,0.22798026230356203,0.22798026230356203,0.22798026230356203,0.05847012144711827,0.22798026230356203,0.0,0.0,0.0,-0.0,0.42857142857142855,-0.0,0.7777777777777778,1.0,1.0,1.0,1.0,1.0
6,1000,0.030506172839506168,0.069,0.069,0.931,0.9898571428571429,0.931,0.12164044039011725,0.25345413786324694,0.25345413786324694,0.25345413786324694,0.06259017983873215,0.25345413786324694,0.0,0.0,0.0,-0.0,0.42857142857142855,-0.0,0.7777777777777778,1.0,1.0,1.0,1.0,1.0
7,1000,0.040172839506172835,0.092,0.092,0.908,0.987,0.908,0.13742658679496905,0.2890259503920077,0.2890259503920077,0.2890259503920077,0.06950539547401817,0.2890259503920077,0.0,0.0,0.0,-0.0,0.42857142857142855,-0.0,0.7777777777777778,1.0,1.0,1.0,1.0,1.0
8,1000,0.0497037037037037,0.115,0.115,0.885,0.9814285714285714,0.885,0.15055317599443932,0.31902194281899343,0.31902194281899343,0.31902194281899343,0.08536834953330615,0.31902194281899343,0.0,0.0,0.0,-0.0,0.14285714285714285,-0.0,0.7777777777777778,1.0,1.0,1.0,1.0,1.0
9,1000,0.06096296296296295,0.142,0.142,0.858,0.9758571428571428,0.858,0.16410196606368424,0.34905013966476955,0.34905013966476955,0.34905013966476955,0.10105959042231523,0.34905013966476955,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.7777777777777778,1.0,1.0,1.0,1.0,1.0
