gen,evals,avg_upcc,avg_upmr,avg_upcm,avg_cpdh,avg_cpah,avg_cprr,std_upcc,std_upmr,std_upcm,std_cpdh,std_cpah,std_cprr,min_upcc,min_upmr,min_upcm,min_cpdh,min_cpah,min_cprr,max_upcc,max_upmr,max_upcm,max_cpdh,max_cpah,max_cprr
0,1000,0.0009682539682539683,0.002,0.0015,0.9985217391304347,0.9994285714285714,0.998,0.022115839465261314,0.04467661580737715,0.03532350492236037,0.03315039909718227,0.012764747373536356,0.04467661580737715,0.0,0.0,0.0,0.1956521739130435,0.7142857142857143,-0.0,0.5873015873015873,1.0,1.0,1.0,1.0,1.0
1,1000,0.0031746031746031746,0.007,0.0045,0.9947826086956523,0.9984285714285714,0.993,0.03849656331086413,0.0833726573883773,0.05584477494706944,0.06256338940436193,0.020642239239392977,0.0833726573883773,0.0,0.0,0.0,0.13043478260869565,0.7142857142857143,-0.0,0.5873015873015873,1.0,1.0,1.0,1.0,1.0
2,1000,0.006015873015873017,0.014,0.009833333333333335,0.9894565217391305,0.9967142857142858,0.986,0.05176005019968894,0.11749042514179929,0.08457721652759319,0.08890686435422637,0.030795904843048262,0.11749042514179929,0.0,0.0,0.0,0.13043478260869565,0.5714285714285714,-0.0,0.5873015873015873,1.0,1.0,1.0,1.0,1.0
3,1000,0.007952380952380954,0.018,0.012833333333333332,0.9863913043478261,0.9961428571428571,0.982,0.060133384533885455,0.1329511188369587,0.09733547372076064,0.10093636281526297,0.03328019574118359,0.1329511188369587,0.0,0.0,0.0,0.13043478260869565,0.5714285714285714,-0.0,0.5873015873015873,1.0,1.0,1.0,1.0,1.0
4,1000,0.011031746031746035,0.026,0.017833333333333333,0.9799347826086956,0.9937142857142858,0.974,0.06998177605342687,0.15913516267625644,0.1122436585687113,0.12336467333722084,0.056435623429150414,0.15913516267625644,0.0,0.0,0.0,0.10869565217391304,-0.0,-0.0,0.5873015873015873,1.0,1.0,1.0,1.0,1.0
5,1000,0.016174603174603182,0.038,0.02583333333333334,0.9708478260869565,0.991,0.962,0.08439107843501753,0.1911962342725383,0.13385055928991704,0.14742708139593078,0.06925713696369454,0.1911962342725383,0.0,0.0,0.0,0.10869565217391304,-0.0,-0.0,0.5873015873015873,1.0,1.0,1.0,1.0,1.0
6,1000,0.02206349206349205,0.051,0.035500000000000004,0.9612826086956523,0.9885714285714285,0.949,0.098913090365759,0.21999772726098465,0.15825708690468454,0.1679705379130704,0.07526822784182496,0.21999772726098465,0.0,0.0,0.0,0.10869565217391304,-0.0,-0.0,0.6984126984126984,1.0,1.0,1.0,1.0,1.0
7,1000,0.02477777777777776,0.057,0.03999999999999999,0.9568260869565217,0.9877142857142858,0.943,0.10449012244748875,0.2318426190328191,0.16802777548171366,0.1765423579733488,0.07674553766194168,0.2318426190328191,0.0,0.0,0.0,0.10869565217391304,-0.0,-0.0,0.6984126984126984,1.0,1.0,1.0,1.0,1.0
8,1000,0.032999999999999974,0.075,0.05199999999999998,0.9435652173913044,0.9838571428571429,0.925,0.1196732333967604,0.26339134382130974,0.18831533837334644,0.19929552677952256,0.08381600353739119,0.26339134382130974,0.0,0.0,0.0,0.10869565217391304,-0.0,-0.0,0.6984126984126984,1.0,1.0,1.0,1.0,1.0
9,1000,0.03757142857142856,0.085,0.05899999999999997,0.9362608695652174,0.9812857142857143,0.915,0.1272539900330809,0.2788816953476959,0.19921261673565593,0.2102943476782153,0.09100784895507145,0.2788816953476959,0.0,0.0,0.0,0.10869565217391304,-0.0,-0.0,0.6984126984126984,1.0,1.0,1.0,1.0,1.0
10,1000,0.044174603174603165,0.101,0.06866666666666665,0.9238478260869565,0.9757142857142858,0.899,0.1361937238300016,0.30132872415353196,0.21096708537378678,0.22843470709685557,0.10833621136941056,0.30132872415353196,0.0,0.0,0.0,0.10869565217391304,-0.0,-0.0,0.6984126984126984,1.0,1.0,1.0,1.0,1.0
11,1000,0.054111111111111145,0.121,0.08300000000000009,0.9097173913043478,0.9718571428571429,0.879,0.15043542998278633,0.32612727576821526,0.23033767482642808,0.244786461279442,0.11554582093132346,0.32612727576821526,0.0,0.0,0.0,0.10869565217391304,-0.0,-0.0,0.6984126984126984,1.0,1.0,1.0,1.0,1.0
12,1000,0.0640793650793651,0.146,0.10016666666666678,0.8915434782608695,0.9654285714285713,0.854,0.1602432886726514,0.3531062163145796,0.24943263396935494,0.2639303043922016,0.12612238953832866,0.3531062163145796,0.0,0.0,0.0,0.10869565217391304,-0.0,-0.0,0.6984126984126984,1.0,1.0,1.0,1.0,1.0
13,1000,0.07346031746031749,0.17,0.11566666666666674,0.8731521739130435,0.9559999999999998,0.83,0.16872173372626179,0.3756327994198515,0.2637530410567177,0.28225879258659853,0.14365036920046223,0.3756327994198515,0.0,0.0,0.0,0.06521739130434782,-0.0,-0.0,0.6984126984126984,1.0,1.0,1.0,1.0,1.0
14,1000,0.08661904761904768,0.2,0.13450000000000006,0.8514130434782609,0.9469999999999997,0.8,0.1799429873876766,0.39999999999999214,0.27847556246264926,0.2993643036417298,0.15434912717998656,0.39999999999999214,0.0,0.0,0.0,0.06521739130434782,-0.0,-0.0,0.6984126984126984,1.0,1.0,1.0,1.0,1.0
15,1000,0.10090476190476194,0.235,0.1579999999999998,0.8255869565217391,0.9381428571428571,0.765,0.18984123732547503,0.4239988207530831,0.2953009764065546,0.31703558908235613,0.16447262659165757,0.4239988207530831,0.0,0.0,0.0,0.06521739130434782,-0.0,-0.0,0.6984126984126984,1.0,1.0,1.0,1.0,1.0
16,1000,0.1210476190476191,0.283,0.19083333333333305,0.7907173913043477,0.9255714285714287,0.717,0.20152987808548445,0.4504564351854579,0.31596303405443665,0.33592680741983943,0.17714049537596274,0.4504564351854579,0.0,0.0,0.0,0.06521739130434782,-0.0,-0.0,0.6984126984126984,1.0,1.0,1.0,1.0,1.0
17,1000,0.14744444444444435,0.351,0.23299999999999987,0.7393260869565215,0.9087142857142861,0.649,0.211789980803522,0.47728293495577234,0.33239852252646335,0.35775431091102733,0.19095244626527344,0.47728293495577234,0.0,0.0,0.0,0.06521739130434782,-0.0,-0.0,0.6984126984126984,1.0,1.0,1.0,1.0,1.0
18,1000,0.17949206349206326,0.429,0.2828333333333335,0.6818043478260867,0.8858571428571436,0.571,0.22084330458527732,0.4949333288433957,0.34428633916165857,0.3709215717397057,0.20754143918647383,0.4949333288433957,0.0,0.0,0.0,0.06521739130434782,-0.0,-0.0,0.6984126984126984,1.0,1.0,1.0,1.0,1.0
19,1000,0.21877777777777752,0.521,0.34100000000000114,0.6145652173913043,0.8618571428571438,0.479,0.2262057421748961,0.49955880534728164,0.34872322677001094,0.3741247504810337,0.21964307781638373,0.49955880534728164,0.0,0.0,0.0,0.06521739130434782,-0.0,-0.0,0.6984126984126984,1.0,1.0,1.0,1.0,1.0
20,1000,0.2734285714285714,0.653,0.4258333333333359,0.5176956521739138,0.8287142857142871,0.347,0.22128198140274416,0.4760157560417535,0.3386646571462692,0.35749826760720843,0.2308546233950267,0.4760157560417535,0.0,0.0,0.0,0.06521739130434782,-0.0,-0.0,0.6984126984126984,1.0,1.0,1.0,1.0,1.0
21,1000,0.3346190476190476,0.805,0.520666666666669,0.40628260869565386,0.7878571428571431,0.195,0.19704956448619076,0.3962007067131508,0.2977052979784604,0.3009015117181251,0.23507597556048865,0.3962007067131508,0.0,0.0,0.0,0.06521739130434782,-0.0,-0.0,0.6984126984126984,1.0,1.0,1.0,1.0,1.0
22,1000,0.4165555555555569,1.0,0.6431666666666627,0.2639130434782623,0.735428571428565,0.0,0.12128267093274923,0.0,0.16989531090252863,0.0803124804619954,0.23044305153334274,0.0,0.09523809523809523,1.0,0.16666666666666663,0.06521739130434782,-0.0,-0.0,0.7142857142857143,1.0,1.0,0.45652173913043476,1.0,-0.0
23,1000,0.4252222222222238,1.0,0.6544999999999943,0.25673913043478325,0.7157142857142812,0.0,0.12258704467560094,0.0,0.1779256242866053,0.0812877802231714,0.23852865313699181,0.0,0.09523809523809523,1.0,0.16666666666666663,0.06521739130434782,-0.0,-0.0,0.7142857142857143,1.0,1.0,0.45652173913043476,1.0,-0.0
24,1000,0.4312380952380971,1.0,0.6626666666666624,0.25386956521739124,0.6895714285714243,0.0,0.1273781347658511,0.0,0.18837197243751502,0.08627536475336968,0.25116345600555406,0.0,0.09523809523809523,1.0,0.16666666666666663,0.06521739130434782,-0.0,-0.0,0.7142857142857143,1.0,1.0,0.45652173913043476,1.0,-0.0
25,1000,0.43128571428571516,1.0,0.6648333333333377,0.2508913043478261,0.6642857142857101,0.0,0.13970576917234087,0.0,0.2021330007692947,0.09238061063433166,0.2673185060437616,0.0,0.09523809523809523,1.0,0.16666666666666663,0.021739130434782608,-0.0,-0.0,0.7142857142857143,1.0,1.0,0.45652173913043476,1.0,-0.0
26,1000,0.42907936507936606,1.0,0.6583333333333355,0.2422173913043474,0.648571428571427,0.0,0.15142472458592554,0.0,0.20906538052325582,0.09124179016334408,0.2845117550743922,0.0,0.09523809523809523,1.0,0.16666666666666663,0.021739130434782608,-0.0,-0.0,0.7301587301587301,1.0,1.0,0.45652173913043476,1.0,-0.0
27,1000,0.43596825396825506,1.0,0.6620000000000006,0.23810869565217327,0.639142857142855,0.0,0.1529757274610579,0.0,0.21089860649663505,0.09096414622212753,0.29827134612357026,0.0,0.07936507936507936,1.0,0.0,0.021739130434782608,-0.0,-0.0,0.7301587301587301,1.0,1.0,0.45652173913043476,1.0,-0.0
28,1000,0.45811111111111236,1.0,0.6888333333333319,0.2438913043478249,0.6411428571428543,0.0,0.14174494658216985,0.0,0.1941728182144292,0.09250003576354514,0.3113452050934688,0.0,0.07936507936507936,1.0,0.0,0.021739130434782608,-0.0,-0.0,0.7301587301587301,1.0,1.0,0.45652173913043476,1.0,-0.0
29,1000,0.46496825396825414,1.0,0.6991666666666664,0.2449565217391298,0.625857142857141,0.0,0.14295688845827598,0.0,0.19414878315353964,0.09594859209567255,0.324252326789758,0.0,0.09523809523809523,1.0,0.0,0.021739130434782608,-0.0,-0.0,0.7301587301587301,1.0,1.0,0.45652173913043476,1.0,-0.0
30,1000,0.4773492063492061,1.0,0.7041666666666653,0.24563043478260801,0.6148571428571408,0.0,0.14104464930119745,0.0,0.19281359737667175,0.09738450820619918,0.3313418605782089,0.0,0.07936507936507936,1.0,0.0,0.021739130434782608,-0.0,-0.0,0.7301587301587301,1.0,1.0,0.45652173913043476,1.0,-0.0
31,1000,0.48347619047619134,1.0,0.7044999999999985,0.24691304347826004,0.5908571428571425,0.0,0.1469144466120698,0.0,0.20517411305197963,0.10161232342689402,0.3442680493393454,0.0,0.07936507936507936,1.0,0.0,0.021739130434782608,-0.0,-0.0,0.7301587301587301,1.0,1.0,0.45652173913043476,1.0,-0.0
32,1000,0.49106349206349326,1.0,0.7035000000000008,0.24754347826086917,0.5844285714285719,0.0,0.14938610499249064,0.0,0.2129266305561611,0.104269062212113,0.34924755853528566,0.0,0.07936507936507936,1.0,0.0,0.021739130434782608,-0.0,-0.0,0.7301587301587301,1.0,1.0,0.45652173913043476,1.0,-0.0
