gen,evals,avg_upcc,avg_upmr,avg_upcm,avg_cpdh,avg_cpah,avg_cprr,std_upcc,std_upmr,std_upcm,std_cpdh,std_cpah,std_cprr,min_upcc,min_upmr,min_upcm,min_cpdh,min_cpah,min_cprr,max_upcc,max_upmr,max_upcm,max_cpdh,max_cpah,max_cprr
0,1000,0.0015079365079365076,0.005,0.004,0.9958857142857144,0.999,0.995,0.021354811325372106,0.07053367989832922,0.057131427428342915,0.05842325508471697,0.03160696125855852,0.07053367989832922,0.0,0.0,0.0,0.0,-0.0,-0.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0
1,1000,0.004444444444444444,0.013,0.0106,0.9896857142857143,0.998,0.987,0.040876020848081555,0.11327400407860422,0.09469762404622022,0.09055240449144925,0.03880984516372807,0.11327400407860422,0.0,0.0,0.0,0.0,-0.0,-0.0,0.5714285714285714,1.0,1.0,1.0,1.0,1.0
2,1000,0.010555555555555558,0.03,0.023800000000000005,0.9760285714285715,0.9954285714285714,0.97,0.063802366731209,0.1705872210923239,0.13983404449560938,0.13734829553261874,0.050097048672693274,0.1705872210923239,0.0,0.0,0.0,0.0,-0.0,-0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0
3,1000,0.017301587301587304,0.047,0.037399999999999996,0.9622571428571429,0.9917142857142858,0.953,0.08218774174364318,0.21163884331568372,0.1732086602915706,0.17106618602166992,0.06302510028001561,0.21163884331568372,0.0,0.0,0.0,0.0,-0.0,-0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0
4,1000,0.02265079365079363,0.06,0.04739999999999999,0.9524571428571428,0.9902857142857142,0.94,0.09493691929115389,0.23748684174075588,0.19295916666486337,0.18941177257983396,0.06629802841282892,0.23748684174075588,0.0,0.0,0.0,0.0,-0.0,-0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0
5,1000,0.029492063492063444,0.079,0.06139999999999998,0.9375714285714285,0.9857142857142858,0.921,0.1073582033411524,0.26973876250921497,0.21640249536453993,0.21483885750459084,0.0818161203615772,0.26973876250921497,0.0,0.0,0.0,0.0,-0.0,-0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0
6,1000,0.038793650793650776,0.104,0.08039999999999993,0.918,0.983,0.896,0.12169217574971677,0.305260544453431,0.24465453194249273,0.24257647647448027,0.08628843420500465,0.305260544453431,0.0,0.0,0.0,0.0,-0.0,-0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0
7,1000,0.05269841269841273,0.139,0.10659999999999986,0.8906857142857142,0.9744285714285713,0.861,0.14086226205321892,0.34594652765999,0.27531153263168195,0.2745411370238761,0.11111301472292405,0.34594652765999,0.0,0.0,0.0,0.0,-0.0,-0.0,0.6825396825396826,1.0,1.0,1.0,1.0,1.0
8,1000,0.0684761904761905,0.177,0.1365999999999999,0.8614571428571428,0.9705714285714284,0.823,0.15843099108684477,0.3816687045069318,0.30571300266753915,0.30150127626900364,0.11637062536989151,0.3816687045069318,0.0,0.0,0.0,0.0,-0.0,-0.0,0.7301587301587301,1.0,1.0,1.0,1.0,1.0
9,1000,0.0787619047619048,0.205,0.15740000000000004,0.8396857142857143,0.9657142857142856,0.795,0.16676683006816712,0.4037016224886842,0.32259144439987836,0.31883164132533864,0.12375090187261538,0.4037016224886842,0.0,0.0,0.0,0.0,-0.0,-0.0,0.7301587301587301,1.0,1.0,1.0,1.0,1.0
10,1000,0.09777777777777784,0.255,0.19620000000000024,0.8006571428571428,0.9582857142857142,0.745,0.18071301349838753,0.435861216443943,0.3493215710487903,0.3441694777108396,0.13361046030173587,0.435861216443943,0.0,0.0,0.0,0.0,-0.0,-0.0,0.7301587301587301,1.0,1.0,1.0,1.0,1.0
11,1000,0.11985714285714293,0.316,0.2422000000000004,0.7520857142857144,0.9438571428571428,0.684,0.1922859783116753,0.4649128950674439,0.3730136190543157,0.36897726383138063,0.16013712236450015,0.4649128950674439,0.0,0.0,0.0,0.0,-0.0,-0.0,0.7301587301587301,1.0,1.0,1.0,1.0,1.0
12,1000,0.15077777777777757,0.399,0.3052000000000013,0.6870000000000004,0.9281428571428574,0.601,0.2044737722975045,0.48969276082049285,0.39361524360725497,0.38924204211125857,0.17589369470431268,0.48969276082049285,0.0,0.0,0.0,0.0,-0.0,-0.0,0.7301587301587301,1.0,1.0,1.0,1.0,1.0
13,1000,0.19195238095238043,0.509,0.3880000000000022,0.6017714285714294,0.9061428571428576,0.491,0.21388224862325492,0.49991899343793983,0.4049888887364662,0.3976791404832696,0.19615440606931878,0.49991899343793983,0.0,0.0,0.0,0.0,-0.0,-0.0,0.7301587301587301,1.0,1.0,1.0,1.0,1.0
14,1000,0.24463492063492018,0.648,0.49160000000000337,0.4936000000000008,0.8801428571428579,0.352,0.21301342226489706,0.4775939698111787,0.39376317755727314,0.3817444641620469,0.21443228320761673,0.4775939698111787,0.0,0.0,0.0,0.0,-0.0,-0.0,0.7301587301587301,1.0,1.0,1.0,1.0,1.0
15,1000,0.3078253968253969,0.828,0.6238000000000009,0.3525428571428579,0.8397142857142857,0.172,0.1927709331124923,0.3773804446443939,0.33519182567598427,0.3093351382483124,0.2351341779339061,0.3773804446443939,0.0,0.0,0.0,0.0,-0.0,-0.0,0.7301587301587301,1.0,1.0,1.0,1.0,1.0
16,1000,0.37403174603174755,1.0,0.7499999999999984,0.21714285714285778,0.7924285714285694,0.0,0.1476155521006184,0.0,0.19974984355438202,0.10354531690550423,0.2518418275871777,0.0,0.047619047619047616,1.0,0.0,0.0,-0.0,-0.0,0.7301587301587301,1.0,1.0,0.4857142857142857,1.0,-0.0
