gen,evals,avg_upcc,avg_upmr,avg_upcm,avg_cpdh,avg_cpah,avg_cprr,std_upcc,std_upmr,std_upcm,std_cpdh,std_cpah,std_cprr,min_upcc,min_upmr,min_upcm,min_cpdh,min_cpah,min_cprr,max_upcc,max_upmr,max_upcm,max_cpdh,max_cpah,max_cprr
0,1000,0.0065116279069767444,0.013,0.013,0.99,0.9979999999999999,0.987,0.05921607955513387,0.11327400407860502,0.11327400407860502,0.08789301509208275,0.0355148718489725,0.11327400407860502,0.0,0.0,0.0,0.06451612903225806,-0.0,-0.0,0.7906976744186046,1.0,1.0,1.0,1.0,1.0
1,1000,0.013232558139534886,0.026,0.026,0.9800967741935485,0.9947142857142858,0.974,0.08591202249066666,0.15913516267625644,0.15913516267625644,0.12307333499031836,0.05299807466660598,0.15913516267625644,0.0,0.0,0.0,0.06451612903225806,-0.0,-0.0,0.813953488372093,1.0,1.0,1.0,1.0,1.0
2,1000,0.021441860465116275,0.043,0.043,0.9672903225806452,0.9927142857142858,0.957,0.10709274802378604,0.20285709255532583,0.20285709255532583,0.1557293070220195,0.059315655090164794,0.20285709255532583,0.0,0.0,0.0,0.06451612903225806,-0.0,-0.0,0.8604651162790697,1.0,1.0,1.0,1.0,1.0
3,1000,0.03318604651162791,0.065,0.065,0.9506774193548387,0.9887142857142858,0.935,0.1319215046777104,0.24652586071241764,0.24652586071241764,0.18872803605212876,0.07096406103925802,0.24652586071241764,0.0,0.0,0.0,0.03225806451612903,-0.0,-0.0,0.8604651162790697,1.0,1.0,1.0,1.0,1.0
4,1000,0.04286046511627908,0.084,0.084,0.936516129032258,0.9855714285714285,0.916,0.14900127403711885,0.27738781516138233,0.27738781516138233,0.21168020172980628,0.08091302965126597,0.27738781516138233,0.0,0.0,0.0,0.03225806451612903,-0.0,-0.0,0.8604651162790697,1.0,1.0,1.0,1.0,1.0
5,1000,0.053790697674418596,0.103,0.103,0.9228064516129032,0.9825714285714285,0.897,0.1679949376635579,0.30395887879777755,0.30395887879777755,0.23009420095069197,0.09047674185295478,0.30395887879777755,0.0,0.0,0.0,0.03225806451612903,-0.0,-0.0,0.9069767441860465,1.0,1.0,1.0,1.0,1.0
6,1000,0.07058139534883721,0.133,0.133,0.9006451612903226,0.978,0.867,0.19096942492120056,0.33957473404245436,0.33957473404245436,0.256348325720873,0.09796750814969911,0.33957473404245436,0.0,0.0,0.0,0.03225806451612903,-0.0,-0.0,0.9069767441860465,1.0,1.0,1.0,1.0,1.0
7,1000,0.09204651162790697,0.173,0.173,0.8711290322580645,0.9715714285714284,0.827,0.21286151572867715,0.37824727361873206,0.37824727361873206,0.2846634374707639,0.10779790236874408,0.37824727361873206,0.0,0.0,0.0,0.03225806451612903,-0.0,-0.0,0.9069767441860465,1.0,1.0,1.0,1.0,1.0
8,1000,0.1201395348837209,0.225,0.225,0.831741935483871,0.9619999999999999,0.775,0.2365065330680828,0.41758232721224786,0.41758232721224786,0.3156074433099257,0.12480548130296508,0.41758232721224786,0.0,0.0,0.0,0.03225806451612903,-0.0,-0.0,0.9069767441860465,1.0,1.0,1.0,1.0,1.0
9,1000,0.15004651162790708,0.283,0.283,0.788225806451613,0.9527142857142857,0.717,0.25463544179995784,0.4504564351854579,0.4504564351854579,0.3408347697500193,0.13366413894839477,0.4504564351854579,0.0,0.0,0.0,0.03225806451612903,-0.0,-0.0,0.9069767441860465,1.0,1.0,1.0,1.0,1.0
10,1000,0.19202325581395358,0.358,0.358,0.732935483870968,0.9384285714285718,0.642,0.27583684657334356,0.4794121400215047,0.4794121400215047,0.36220960092907467,0.15234486923974336,0.4794121400215047,0.0,0.0,0.0,0.03225806451612903,-0.0,-0.0,0.9069767441860465,1.0,1.0,1.0,1.0,1.0
11,1000,0.2501627906976745,0.464,0.464,0.654193548387097,0.9202857142857148,0.536,0.2912849426135865,0.498702316016275,0.498702316016275,0.3770160514058878,0.16943098046950633,0.498702316016275,0.0,0.0,0.0,0.0,-0.0,-0.0,0.9069767441860465,1.0,1.0,1.0,1.0,1.0
12,1000,0.32434883720930263,0.597,0.597,0.5559677419354834,0.8958571428571438,0.403,0.296759304674282,0.4905007645254011,0.4905007645254011,0.3720793653379629,0.18830928749029685,0.4905007645254011,0.0,0.0,0.0,0.0,-0.0,-0.0,0.9069767441860465,1.0,1.0,1.0,1.0,1.0
13,1000,0.4154186046511633,0.759,0.759,0.4361612903225791,0.8632857142857141,0.241,0.27826456608748995,0.4276903085177401,0.4276903085177401,0.32853783060621405,0.20864729539955945,0.4276903085177401,0.0,0.0,0.0,0.0,-0.0,-0.0,0.9534883720930233,1.0,1.0,1.0,1.0,1.0
14,1000,0.5280000000000018,0.969,0.969,0.2803870967741905,0.8221428571428546,0.031,0.19675076133935243,0.17331762749357021,0.17331762749357021,0.16110032680465322,0.2231031151732302,0.17331762749357021,0.0,0.0,0.0,0.0,-0.0,-0.0,0.9534883720930233,1.0,1.0,1.0,1.0,1.0
15,1000,0.5860465116279093,1.0,1.0,0.2609677419354802,0.7879999999999954,0.0,0.16271094391883248,0.0,0.0,0.10326561732311416,0.23166407770294975,0.0,0.11627906976744186,1.0,1.0,0.0,-0.0,-0.0,0.9534883720930233,1.0,1.0,0.4838709677419355,1.0,-0.0
16,1000,0.6148837209302317,1.0,1.0,0.2635483870967711,0.7521428571428526,0.0,0.1635801456002943,0.0,0.0,0.1072943183939642,0.25025599138579835,0.0,0.11627906976744186,1.0,1.0,0.0,-0.0,-0.0,0.9534883720930233,1.0,1.0,0.4838709677419355,1.0,-0.0
17,1000,0.632581395348835,1.0,1.0,0.252935483870965,0.7252857142857122,0.0,0.16956119839161313,0.0,0.0,0.10710318189148212,0.27033882746037957,0.0,0.11627906976744186,1.0,1.0,0.0,-0.0,-0.0,0.9534883720930233,1.0,1.0,0.5161290322580645,1.0,-0.0
