gen,evals,avg_upcc,avg_upmr,avg_upcm,avg_cpdh,avg_cpah,avg_cprr,std_upcc,std_upmr,std_upcm,std_cpdh,std_cpah,std_cprr,min_upcc,min_upmr,min_upcm,min_cpdh,min_cpah,min_cprr,max_upcc,max_upmr,max_upcm,max_cpdh,max_cpah,max_cprr
0,1000,0.0018376068376068377,0.001,0.004166666666666667,0.994,0.9995714285714286,0.994,0.0246752225567589,0.0316069612585583,0.054867264071271106,0.07722693830523106,0.010092429977817247,0.07722693830523106,0.0,0.0,0.0,-0.0,0.7142857142857143,-0.0,0.49572649572649574,1.0,0.8333333333333334,1.0,1.0,1.0
1,1000,0.004341880341880342,0.005,0.011666666666666665,0.984,0.9977142857142858,0.984,0.03586683270196365,0.07053367989832902,0.09296056511589443,0.125475097130866,0.029187640660850226,0.125475097130866,0.0,0.0,0.0,-0.0,0.42857142857142855,-0.0,0.49572649572649574,1.0,1.0,1.0,1.0,1.0
2,1000,0.00682051282051282,0.007,0.018166666666666668,0.975,0.9955714285714286,0.975,0.04477294443564058,0.08337265738837733,0.11488146064531236,0.15612494995995815,0.045633634212371196,0.15612494995995815,0.0,0.0,0.0,-0.0,0.14285714285714285,-0.0,0.49572649572649574,1.0,1.0,1.0,1.0,1.0
3,1000,0.009487179487179483,0.011,0.02366666666666667,0.966,0.993,0.966,0.05320463048543429,0.10430244484191172,0.12821813010993377,0.1812291367302776,0.06003383399792136,0.1812291367302776,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.49572649572649574,1.0,1.0,1.0,1.0,1.0
4,1000,0.013504273504273499,0.013,0.03350000000000001,0.951,0.9874285714285714,0.951,0.06503683835036059,0.11327400407860423,0.15189534043033062,0.2158680152315276,0.0873949515190671,0.2158680152315276,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.7863247863247863,1.0,1.0,1.0,1.0,1.0
5,1000,0.019735042735042726,0.023,0.045333333333333344,0.935,0.9851428571428571,0.935,0.08216228202364649,0.1499033021650965,0.17654209444523922,0.24652586071241764,0.09182770023589032,0.24652586071241764,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.7863247863247863,1.0,1.0,1.0,1.0,1.0
6,1000,0.025136752136752104,0.026,0.05633333333333333,0.919,0.9837142857142858,0.919,0.09265269454165787,0.1591351626762566,0.1957716924265451,0.27283511504204233,0.0937869927015486,0.27283511504204233,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.7863247863247863,1.0,1.0,1.0,1.0,1.0
7,1000,0.030692307692307647,0.031,0.06883333333333333,0.9,0.9797142857142858,0.9,0.10094944087064975,0.17331762749357085,0.2134655189434031,0.30000000000000787,0.1037890324904605,0.30000000000000787,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.7863247863247863,1.0,1.0,1.0,1.0,1.0
8,1000,0.03771794871794868,0.034,0.08216666666666662,0.88,0.9775714285714285,0.88,0.1123586866626307,0.1812291367302774,0.230334961402838,0.32496153618543144,0.10920407781875562,0.32496153618543144,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.7863247863247863,1.0,1.0,1.0,1.0,1.0
9,1000,0.04694017094017094,0.039,0.10183333333333333,0.851,0.9734285714285713,0.851,0.1243394222007473,0.1935949379503432,0.25197437038978915,0.35608847215263206,0.11981311978856951,0.35608847215263206,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.7863247863247863,1.0,1.0,1.0,1.0,1.0
10,1000,0.05792307692307696,0.051,0.12483333333333335,0.816,0.9677142857142856,0.816,0.1355091132544303,0.21999772726098482,0.2724375055759489,0.3874841932259833,0.12975046694895037,0.3874841932259833,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.7863247863247863,1.0,1.0,1.0,1.0,1.0
11,1000,0.07569230769230785,0.069,0.1610000000000001,0.764,0.9607142857142856,0.764,0.15219994462111358,0.2534541378632465,0.3010557349653933,0.4246221850068712,0.13963326602064838,0.4246221850068712,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.7863247863247863,1.0,1.0,1.0,1.0,1.0
