gen,evals,avg_upcc,avg_upmr,avg_upcm,avg_cpdh,avg_cpah,avg_cprr,std_upcc,std_upmr,std_upcm,std_cpdh,std_cpah,std_cprr,min_upcc,min_upmr,min_upcm,min_cpdh,min_cpah,min_cprr,max_upcc,max_upmr,max_upcm,max_cpdh,max_cpah,max_cprr
0,1000,0.000962962962962963,0.004,0.002666666666666667,0.9973,0.9987142857142857,0.996,0.01845782647076014,0.06311893535223811,0.04647101844758208,0.042737103317843854,0.03286304294852702,0.06311893535223811,0.0,0.0,0.0,0.25,-0.0,-0.0,0.42962962962962964,1.0,1.0,1.0,1.0,1.0
1,1000,0.0021481481481481477,0.009,0.006499999999999999,0.994,0.9978571428571429,0.991,0.025629950757997063,0.09444045743218199,0.072930522493062,0.0630793151516418,0.04256447690125514,0.09444045743218199,0.0,0.0,0.0,0.25,-0.0,-0.0,0.42962962962962964,1.0,1.0,1.0,1.0,1.0
2,1000,0.004918518518518517,0.019,0.013833333333333336,0.98775,0.9957142857142858,0.981,0.039464942682845124,0.13652472303579882,0.10516006318412659,0.08857165178543513,0.056981916214798964,0.13652472303579882,0.0,0.0,0.0,0.25,-0.0,-0.0,0.4666666666666667,1.0,1.0,1.0,1.0,1.0
3,1000,0.006562962962962963,0.027,0.019166666666666672,0.9829249999999999,0.993,0.973,0.044294192939038614,0.1620833119108805,0.12108020757608161,0.10317615700828937,0.07320630618536814,0.1620833119108805,0.0,0.0,0.0,0.25,-0.0,-0.0,0.4666666666666667,1.0,1.0,1.0,1.0,1.0
4,1000,0.009533333333333333,0.039,0.02733333333333333,0.97515,0.9921428571428571,0.961,0.05271588625759062,0.19359493795034236,0.14270248771482255,0.12423758489282,0.07798155197852796,0.19359493795034236,0.0,0.0,0.0,0.175,-0.0,-0.0,0.4666666666666667,1.0,1.0,1.0,1.0,1.0
5,1000,0.01162962962962963,0.05,0.03533333333333333,0.968275,0.9904285714285714,0.95,0.056367936872571224,0.21794494717702884,0.16099137312981637,0.1392673665113294,0.08187982732302726,0.21794494717702884,0.0,0.0,0.0,0.175,-0.0,-0.0,0.4666666666666667,1.0,1.0,1.0,1.0,1.0
6,1000,0.014037037037037035,0.062,0.043166666666666687,0.9605,0.9872857142857142,0.938,0.06064218517476949,0.24115555146004983,0.17558782228085995,0.15485799947048481,0.095946307263758,0.24115555146004983,0.0,0.0,0.0,0.175,-0.0,-0.0,0.4666666666666667,1.0,1.0,1.0,1.0,1.0
7,1000,0.018362962962962956,0.082,0.05716666666666668,0.947875,0.9828571428571429,0.918,0.06795445864644553,0.2743647207641773,0.20078671658144195,0.1760251668796222,0.11244953516660047,0.2743647207641773,0.0,0.0,0.0,0.175,-0.0,-0.0,0.4666666666666667,1.0,1.0,1.0,1.0,1.0
8,1000,0.02254814814814814,0.1,0.06833333333333336,0.935825,0.9797142857142858,0.9,0.0752288010690584,0.30000000000000787,0.21550328690455658,0.194283155149897,0.11950885886384537,0.30000000000000787,0.0,0.0,0.0,0.175,-0.0,-0.0,0.5555555555555556,1.0,1.0,1.0,1.0,1.0
9,1000,0.026666666666666655,0.123,0.08216666666666665,0.9211,0.9724285714285714,0.877,0.07933814004873387,0.32843720861072023,0.2312977278074544,0.2126406358154458,0.14096974635628873,0.32843720861072023,0.0,0.0,0.0,0.15,-0.0,-0.0,0.5555555555555556,1.0,1.0,1.0,1.0,1.0
