gen,evals,avg_upcc,avg_upmr,avg_upcm,avg_cpdh,avg_cpah,avg_cprr,std_upcc,std_upmr,std_upcm,std_cpdh,std_cpah,std_cprr,min_upcc,min_upmr,min_upcm,min_cpdh,min_cpah,min_cprr,max_upcc,max_upmr,max_upcm,max_cpdh,max_cpah,max_cprr
0,1000,0.005454545454545455,0.005,0.010199999999999999,0.9910277777777777,0.9979999999999999,0.987,0.05147790295261364,0.07053367989832927,0.09173854151881898,0.07858053488595723,0.0238207592538226,0.11327400407860469,0.0,0.0,0.0,0.19444444444444445,0.5714285714285714,-0.0,0.6868686868686869,1.0,1.0,1.0,1.0,1.0
1,1000,0.010060606060606062,0.008,0.022600000000000006,0.9817222222222222,0.9962857142857142,0.973,0.06549317976908554,0.0890842298052807,0.1388857084080321,0.11040412577279032,0.032988557076039156,0.1620833119108805,0.0,0.0,0.0,0.19444444444444445,0.42857142857142855,-0.0,0.6868686868686869,1.0,1.0,1.0,1.0,1.0
2,1000,0.017131313131313133,0.012,0.0412,0.965388888888889,0.9921428571428571,0.95,0.08228175443899899,0.10888526071053223,0.18412647826969614,0.15181892032253813,0.04737496971082807,0.21794494717702884,0.0,0.0,0.0,0.1111111111111111,0.42857142857142855,-0.0,0.6868686868686869,1.0,1.0,1.0,1.0,1.0
3,1000,0.024434343434343427,0.017,0.06059999999999997,0.9484166666666668,0.9875714285714285,0.926,0.09574001405257349,0.12927103310486354,0.2195623829347888,0.18380106790148829,0.06599799007453151,0.2617708921939209,0.0,0.0,0.0,0.1111111111111111,-0.0,-0.0,0.6868686868686869,1.0,1.0,1.0,1.0,1.0
4,1000,0.03111111111111111,0.022,0.07839999999999991,0.9329722222222222,0.9841428571428571,0.904,0.10669153367929547,0.14668333238647172,0.2470899431381171,0.20713066006630487,0.07265785067909747,0.29459124223234395,0.0,0.0,0.0,0.1111111111111111,-0.0,-0.0,0.6868686868686869,1.0,1.0,1.0,1.0,1.0
5,1000,0.04009090909090909,0.027,0.09819999999999988,0.9155833333333334,0.9788571428571429,0.88,0.12262311704483664,0.1620833119108805,0.2740743694693143,0.23028008811332945,0.09013549890728675,0.32496153618543144,0.0,0.0,0.0,0.1111111111111111,-0.0,-0.0,0.8686868686868687,1.0,1.0,1.0,1.0,1.0
6,1000,0.0522323232323232,0.031,0.1299999999999998,0.8878055555555555,0.9734285714285714,0.841,0.13649217996767063,0.17331762749357085,0.3074735761004607,0.26002949589338487,0.09829194332420974,0.3656760861746436,0.0,0.0,0.0,0.1111111111111111,-0.0,-0.0,0.8686868686868687,1.0,1.0,1.0,1.0,1.0
7,1000,0.06450505050505048,0.037,0.16120000000000004,0.8579722222222221,0.9648571428571429,0.8,0.1473331976005114,0.1887617546008653,0.3326478017363104,0.2863513433196771,0.11459636351391102,0.39999999999999214,0.0,0.0,0.0,0.1111111111111111,-0.0,-0.0,0.8686868686868687,1.0,1.0,1.0,1.0,1.0
8,1000,0.08000000000000006,0.045,0.20080000000000026,0.8239722222222223,0.9561428571428573,0.752,0.16047374004094805,0.2073041244162857,0.36066516327475207,0.3093020705286829,0.12719509360322856,0.43185182644051723,0.0,0.0,0.0,0.1111111111111111,-0.0,-0.0,0.8686868686868687,1.0,1.0,1.0,1.0,1.0
9,1000,0.09695959595959615,0.052,0.2478000000000006,0.7821666666666667,0.9437142857142861,0.694,0.169417819642704,0.2220270253820495,0.3854285407179854,0.3312353374346324,0.14851399988978795,0.4608296865437407,0.0,0.0,0.0,0.08333333333333333,-0.0,-0.0,0.8686868686868687,1.0,1.0,1.0,1.0,1.0
10,1000,0.12452525252525268,0.071,0.3120000000000012,0.7250833333333333,0.9304285714285714,0.614,0.18673771440779463,0.2568248430350956,0.408039213801809,0.3506677833650068,0.15868277943682377,0.48683056600834657,0.0,0.0,0.0,0.027777777777777776,-0.0,-0.0,0.9494949494949495,1.0,1.0,1.0,1.0,1.0
11,1000,0.14816161616161685,0.083,0.37220000000000186,0.6677222222222221,0.9147142857142854,0.533,0.19336504178298677,0.2758822212466778,0.41596533509416644,0.35970297674815194,0.17253162975323488,0.49890981148900515,0.0,0.0,0.0,0.027777777777777776,-0.0,-0.0,0.9494949494949495,1.0,1.0,1.0,1.0,1.0
12,1000,0.17988888888889035,0.1,0.45780000000000287,0.5898611111111108,0.8942857142857132,0.424,0.19675318818124252,0.3000000000000065,0.41576334614778027,0.35798408367784507,0.18705014060952088,0.4941902467673735,0.0,0.0,0.0,0.027777777777777776,-0.0,-0.0,0.9494949494949495,1.0,1.0,1.0,1.0,1.0
13,1000,0.21196969696969897,0.119,0.5436000000000027,0.5086944444444441,0.876142857142856,0.311,0.19336055638319966,0.32378851122299157,0.39559959555085333,0.33778398089150674,0.1926883388229996,0.46290279757201597,0.0,0.0,0.0,0.027777777777777776,-0.0,-0.0,0.9494949494949495,1.0,1.0,1.0,1.0,1.0
14,1000,0.2515555555555585,0.139,0.6561999999999995,0.40577777777777735,0.844571428571428,0.165,0.18171960964333364,0.3459465276599887,0.3363354872742385,0.27565065563248253,0.20752457439925232,0.3711805490593501,0.0,0.0,0.0,0.027777777777777776,-0.0,-0.0,0.9494949494949495,1.0,1.0,1.0,1.0,1.0
