gen,evals,avg_upcc,avg_upmr,avg_upcm,avg_cpdh,avg_cpah,avg_cprr,std_upcc,std_upmr,std_upcm,std_cpdh,std_cpah,std_cprr,min_upcc,min_upmr,min_upcm,min_cpdh,min_cpah,min_cprr,max_upcc,max_upmr,max_upcm,max_cpdh,max_cpah,max_cprr
0,1000,0.008784313725490196,0.031,0.02575,0.978833333333333,0.9929999999999999,0.9824666353773195,0.05023319706020787,0.1733176274935708,0.1467120905038157,0.11915337921258289,0.05506934404059332,0.09802720618147245,0.0,0.0,0.0,0.1,-0.0,0.4328428255072666,0.4117647058823529,1.0,1.0,1.0,1.0,1.0
1,1000,0.020411764705882338,0.074,0.06175,0.9502999999999999,0.9851428571428571,0.9581416397446348,0.07396425407202294,0.2617708921939209,0.22192214287898535,0.17728169360903606,0.0822122688098159,0.14807176522824497,0.0,0.0,0.0,0.1,-0.0,0.4328428255072666,0.4117647058823529,1.0,1.0,1.0,1.0,1.0
2,1000,0.02888235294117642,0.106,0.08925,0.9292999999999999,0.9791428571428571,0.940039547375809,0.0858574388609746,0.30783761953341066,0.26404911948348286,0.20767592007205926,0.09504928903962966,0.17413304084814257,0.0,0.0,0.0,0.1,-0.0,0.4328428255072666,0.4117647058823529,1.0,1.0,1.0,1.0,1.0
3,1000,0.04315686274509803,0.161,0.1325,0.8923,0.9668571428571429,0.908925631012638,0.10159549761916621,0.36753095107759404,0.30994959267596817,0.248845420559296,0.11799135215630667,0.20790487565517013,0.0,0.0,0.0,0.1,-0.0,0.4328428255072666,0.4117647058823529,1.0,1.0,1.0,1.0,1.0
4,1000,0.06356862745098045,0.234,0.193,0.8428666666666665,0.954,0.8676466282569472,0.11906568865996103,0.4233721766956324,0.35864467094884,0.2878738226684976,0.1343401105631641,0.23946497128875446,0.0,0.0,0.0,0.1,-0.0,0.43278214043417274,0.4117647058823529,1.0,1.0,1.0,1.0,1.0
5,1000,0.08490196078431388,0.314,0.2595,0.7900999999999999,0.938571428571429,0.8223949050791655,0.13019238714351633,0.4641163647190118,0.3943789421356065,0.3146793623851291,0.1516642371039635,0.2625144826530856,0.0,0.0,0.0,0.03333333333333333,-0.0,0.43267095948671697,0.4117647058823529,1.0,1.0,1.0,1.0,1.0
6,1000,0.11615686274509825,0.432,0.355,0.7103666666666668,0.9138571428571431,0.7556461196248929,0.13909719342794452,0.49535441857320445,0.42201895692018304,0.3383066968168195,0.17782076506919894,0.28018977458180266,0.0,0.0,0.0,0.03333333333333333,-0.0,0.43267095948671697,0.4117647058823529,1.0,1.0,1.0,1.0,1.0
7,1000,0.1596666666666673,0.595,0.489,0.6013666666666676,0.8844285714285711,0.6634431797436735,0.13978418995591022,0.49089204515860824,0.4229408942157313,0.33715034397794436,0.1941238296152447,0.27766973866744865,0.0,0.0,0.0,0.03333333333333333,-0.0,0.43267095948671697,0.4117647058823529,1.0,1.0,1.0,1.0,1.0
8,1000,0.2141568627450986,0.801,0.65675,0.461733333333335,0.8431428571428566,0.5469192266039563,0.12022968535067866,0.39924804320121626,0.3605439466972107,0.28193004648513637,0.2121029784547805,0.22583342393133365,0.0,0.0,0.0,0.03333333333333333,-0.0,0.43267095948671697,0.45098039215686275,1.0,1.0,1.0,1.0,1.0
9,1000,0.2686862745098041,1.0,0.81325,0.32516666666666727,0.7938571428571417,0.43428486342418665,0.06437464534640633,0.0,0.17446185113084284,0.09747350067240503,0.22245159987223112,0.0008007582087281963,0.09803921568627451,1.0,0.0,0.03333333333333333,-0.0,0.43237827710805,0.45098039215686275,1.0,1.0,0.6,1.0,0.43722783857824943
