gen,evals,avg_upcc,avg_upmr,avg_upcm,avg_cpdh,avg_cpah,avg_cprr,std_upcc,std_upmr,std_upcm,std_cpdh,std_cpah,std_cprr,min_upcc,min_upmr,min_upcm,min_cpdh,min_cpah,min_cprr,max_upcc,max_upmr,max_upcm,max_cpdh,max_cpah,max_cprr
0,1000,0.004200000000000001,0.009,0.008,0.9941200000000001,0.9997142857142858,0.991,0.04595907465571829,0.09444045743218342,0.08477027781009121,0.06247419947466326,0.009030560359588309,0.09444045743218342,0.0,0.0,0.0,0.2,0.7142857142857143,-0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0
1,1000,0.01137777777777778,0.025,0.02125,0.9828,0.9977142857142858,0.975,0.07399651643451927,0.15612494995995815,0.13504050318330546,0.10901082515053137,0.03372881043056815,0.15612494995995815,0.0,0.0,0.0,0.04,0.42857142857142855,-0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0
2,1000,0.014622222222222226,0.032,0.027,0.97812,0.9971428571428571,0.968,0.08357161784147717,0.17600000000000282,0.1509006295546833,0.12228354590867771,0.036027200608339215,0.17600000000000282,0.0,0.0,0.0,0.04,0.42857142857142855,-0.0,0.7111111111111111,1.0,1.0,1.0,1.0,1.0
3,1000,0.020066666666666653,0.046,0.03875,0.96816,0.9954285714285714,0.954,0.09623939030830045,0.20948508300115512,0.18009979872282117,0.14721078221380848,0.044025966364017816,0.20948508300115512,0.0,0.0,0.0,0.04,0.42857142857142855,-0.0,0.8,1.0,1.0,1.0,1.0,1.0
4,1000,0.02622222222222219,0.06,0.0505,0.9584400000000001,0.9937142857142858,0.94,0.10894692331022933,0.23748684174075588,0.2042051664380674,0.16678359151907135,0.05534013563630861,0.23748684174075588,0.0,0.0,0.0,0.04,0.14285714285714285,-0.0,0.8,1.0,1.0,1.0,1.0,1.0
5,1000,0.033311111111111076,0.077,0.065,0.9464,0.9907142857142858,0.923,0.12110193441278592,0.2665914477247818,0.22972810015319925,0.18819734323310167,0.07125335652674002,0.2665914477247818,0.0,0.0,0.0,0.04,-0.0,-0.0,0.8,1.0,1.0,1.0,1.0,1.0
6,1000,0.04224444444444442,0.097,0.0815,0.93288,0.9887142857142858,0.903,0.135837955386029,0.2959577672574328,0.25393453880872296,0.2076393642833705,0.07782227266309333,0.2959577672574328,0.0,0.0,0.0,0.04,-0.0,-0.0,0.8,1.0,1.0,1.0,1.0,1.0
7,1000,0.05448888888888887,0.125,0.10375,0.9134800000000001,0.9865714285714285,0.875,0.15174653330593832,0.33071891388307384,0.28093315486072734,0.23216005168848022,0.0822097863979234,0.33071891388307384,0.0,0.0,0.0,0.04,-0.0,-0.0,0.8,1.0,1.0,1.0,1.0,1.0
8,1000,0.07060000000000004,0.163,0.135,0.8865599999999999,0.9822857142857142,0.837,0.16926226417626433,0.3693656724710568,0.3128897569432418,0.26071625649352564,0.09418002734667742,0.3693656724710568,0.0,0.0,0.0,0.04,-0.0,-0.0,0.8222222222222222,1.0,1.0,1.0,1.0,1.0
9,1000,0.08824444444444454,0.206,0.16975,0.8568,0.9758571428571429,0.794,0.18439645828258355,0.40443046373883335,0.3415002745240491,0.28528610200989885,0.1146813686983644,0.40443046373883335,0.0,0.0,0.0,0.04,-0.0,-0.0,0.8444444444444444,1.0,1.0,1.0,1.0,1.0
10,1000,0.11313333333333343,0.266,0.21675,0.81524,0.9707142857142858,0.734,0.20110401337996808,0.44186423254207013,0.3704145481754192,0.3117841278833765,0.12721306247907938,0.44186423254207013,0.0,0.0,0.0,0.04,-0.0,-0.0,0.8444444444444444,1.0,1.0,1.0,1.0,1.0
11,1000,0.14955555555555597,0.356,0.287,0.7530399999999999,0.9617142857142857,0.644,0.21672432281302514,0.4788152044369487,0.39938202262996314,0.33836719462737336,0.1447147792968594,0.4788152044369487,0.0,0.0,0.0,0.0,-0.0,-0.0,0.8444444444444444,1.0,1.0,1.0,1.0,1.0
12,1000,0.19224444444444486,0.464,0.36925,0.6756400000000001,0.9435714285714286,0.536,0.2269618981456496,0.498702316016275,0.4149902860308891,0.35631698022967784,0.1750204069734216,0.498702316016275,0.0,0.0,0.0,0.0,-0.0,-0.0,0.8444444444444444,1.0,1.0,1.0,1.0,1.0
13,1000,0.24328888888888942,0.599,0.47975,0.5795600000000004,0.922,0.401,0.2250610847122448,0.49010100999691986,0.41701611179905423,0.3542787128801289,0.1996877153794659,0.49010100999691986,0.0,0.0,0.0,0.0,-0.0,-0.0,0.8444444444444444,1.0,1.0,1.0,1.0,1.0
14,1000,0.3155333333333338,0.785,0.625,0.44708000000000014,0.8945714285714287,0.215,0.20530422953915714,0.41082234603292805,0.3669127961791466,0.3055059305480009,0.22978943333727964,0.41082234603292805,0.0,0.0,0.0,0.0,-0.0,-0.0,0.8444444444444444,1.0,1.0,1.0,1.0,1.0
15,1000,0.39126666666666676,0.99,0.78925,0.3026,0.8647142857142859,0.01,0.144192174579193,0.099498743710662,0.20098989402455011,0.1313789937547091,0.25218194759711915,0.099498743710662,0.0,0.0,0.0,0.0,-0.0,-0.0,0.8444444444444444,1.0,1.0,1.0,1.0,1.0
16,1000,0.41771111111111103,1.0,0.80575,0.27060000000000045,0.8299999999999998,0.0,0.14193337160551336,0.0,0.18222084814861336,0.10590391871880861,0.27067187756787736,0.0,0.1111111111111111,1.0,0.0,0.0,-0.0,-0.0,0.8444444444444444,1.0,1.0,0.56,1.0,-0.0
17,1000,0.43353333333333266,1.0,0.80425,0.2538000000000006,0.7847142857142843,0.0,0.14846360322140031,0.0,0.19103517346290017,0.10586009635363161,0.29381206682545513,0.0,0.1111111111111111,1.0,0.0,0.0,-0.0,-0.0,0.9111111111111111,1.0,1.0,0.56,1.0,-0.0
18,1000,0.4378666666666652,1.0,0.804,0.23304000000000005,0.730714285714284,0.0,0.16006539404371697,0.0,0.19483069573350098,0.10505407369540674,0.31029199546391506,0.0,0.1111111111111111,1.0,0.0,0.0,-0.0,-0.0,0.9111111111111111,1.0,1.0,0.56,1.0,-0.0
19,1000,0.4427999999999984,1.0,0.801,0.21315999999999957,0.689571428571429,0.0,0.1650148126534759,0.0,0.19754493159785053,0.09931573087884937,0.3259858204002775,0.0,0.1111111111111111,1.0,0.0,0.0,-0.0,-0.0,0.9111111111111111,1.0,1.0,0.56,1.0,-0.0
20,1000,0.4485777777777781,1.0,0.8015,0.1985599999999997,0.6385714285714296,0.0,0.17625375085755793,0.0,0.20117840341348683,0.09806694856066452,0.33960060575413065,0.0,0.1111111111111111,1.0,0.0,0.0,-0.0,-0.0,0.9111111111111111,1.0,1.0,0.56,1.0,-0.0
21,1000,0.44066666666666754,1.0,0.7995,0.18108000000000007,0.5690000000000025,0.0,0.1863185908167794,0.0,0.20898504731200315,0.09707128102585288,0.3383245332456983,0.0,0.1111111111111111,1.0,0.0,0.0,-0.0,-0.0,0.9111111111111111,1.0,1.0,0.52,1.0,-0.0
22,1000,0.4357777777777786,1.0,0.79,0.16371999999999973,0.5197142857142899,0.0,0.19167861476446602,0.0,0.22338307903688792,0.09123465131187816,0.33905498921898686,0.0,0.1111111111111111,1.0,0.0,0.0,-0.0,-0.0,0.9111111111111111,1.0,1.0,0.52,1.0,-0.0
