gen,evals,avg_upcc,avg_upmr,avg_upcm,avg_cpdh,avg_cpah,avg_cprr,std_upcc,std_upmr,std_upcm,std_cpdh,std_cpah,std_cprr,min_upcc,min_upmr,min_upcm,min_cpdh,min_cpah,min_cprr,max_upcc,max_upmr,max_upcm,max_cpdh,max_cpah,max_cprr
0,1000,0.002711111111111111,0.001,0.00575,0.9955333333333334,0.9987142857142858,0.993,0.03640048839721178,0.031606961258558414,0.0691334759722091,0.05381082088617968,0.028897779026302955,0.08337265738837836,0.0,0.0,0.0,0.26666666666666666,0.14285714285714285,-0.0,0.8,1.0,1.0,1.0,1.0,1.0
1,1000,0.01006666666666667,0.004,0.018,0.9853666666666667,0.9984285714285714,0.977,0.06989159507214518,0.06311893535223813,0.11958678856797207,0.09618430802948727,0.030263806092156145,0.1499033021650965,0.0,0.0,0.0,0.23333333333333334,0.14285714285714285,-0.0,0.8,1.0,1.0,1.0,1.0,1.0
2,1000,0.016511111111111115,0.008,0.029,0.9772333333333334,0.998,0.963,0.0887191462626894,0.0890842298052807,0.15094369811290947,0.11754200667562577,0.031881156868363514,0.18876175460086436,0.0,0.0,0.0,0.23333333333333334,0.14285714285714285,-0.0,0.8,1.0,1.0,1.0,1.0,1.0
3,1000,0.022511111111111096,0.012,0.03975,0.9693333333333334,0.9971428571428571,0.95,0.10340100770815205,0.10888526071053223,0.1767270140640655,0.13562857778179435,0.035456210417117405,0.21794494717702884,0.0,0.0,0.0,0.13333333333333333,0.14285714285714285,-0.0,0.8,1.0,1.0,1.0,1.0,1.0
4,1000,0.031333333333333296,0.013,0.056,0.9560333333333333,0.995,0.93,0.12071372113034898,0.11327400407860423,0.2085401639972454,0.1626558705433709,0.046461526765569146,0.2551470164434631,0.0,0.0,0.0,0.13333333333333333,0.14285714285714285,-0.0,0.8222222222222222,1.0,1.0,1.0,1.0,1.0
5,1000,0.04379999999999997,0.015,0.078,0.9382,0.9912857142857142,0.901,0.1405424394407301,0.12155245781143363,0.24221065211918552,0.18935763928491053,0.0689985211317432,0.2986620163328382,0.0,0.0,0.0,0.13333333333333333,-0.0,-0.0,0.8222222222222222,1.0,1.0,1.0,1.0,1.0
6,1000,0.06053333333333332,0.023,0.10675,0.9162666666666667,0.9885714285714285,0.865,0.16218542048311027,0.1499033021650965,0.2782389934930024,0.21550420465091144,0.07819389819087938,0.3417235724968371,0.0,0.0,0.0,0.13333333333333333,-0.0,-0.0,0.8222222222222222,1.0,1.0,1.0,1.0,1.0
7,1000,0.08015555555555565,0.031,0.1465,0.885,0.9828571428571429,0.817,0.18066345630604003,0.17331762749357085,0.3192377640568219,0.24740767076942924,0.09705878715122153,0.38666652298848275,0.0,0.0,0.0,0.13333333333333333,-0.0,-0.0,0.8222222222222222,1.0,1.0,1.0,1.0,1.0
8,1000,0.10437777777777783,0.043,0.19475,0.8494333333333334,0.9792857142857142,0.76,0.1987084109759694,0.20285709255532583,0.3572603217543222,0.2734709226875038,0.1016170281407762,0.42708313008125953,0.0,0.0,0.0,0.13333333333333333,-0.0,-0.0,0.8222222222222222,1.0,1.0,1.0,1.0,1.0
9,1000,0.13840000000000008,0.062,0.2545,0.8022666666666667,0.974,0.686,0.22069476826771103,0.2411555514600498,0.38920399535462313,0.29884476832556306,0.11128892348206196,0.4641163647190118,0.0,0.0,0.0,0.1,-0.0,-0.0,0.8444444444444444,1.0,1.0,1.0,1.0,1.0
