gen,evals,avg_upcc,avg_upmr,avg_upcm,avg_cpdh,avg_cpah,avg_cprr,std_upcc,std_upmr,std_upcm,std_cpdh,std_cpah,std_cprr,min_upcc,min_upmr,min_upcm,min_cpdh,min_cpah,min_cprr,max_upcc,max_upmr,max_upcm,max_cpdh,max_cpah,max_cprr
0,1000,0.005216494845360824,0.008,0.0035,0.992,0.9972857142857141,0.992,0.06049356283646017,0.08908422980528062,0.04458419002292209,0.08908422980528062,0.03277598672995884,0.08908422980528062,0.0,0.0,0.0,-0.0,0.2857142857142857,-0.0,0.9381443298969072,1.0,0.75,1.0,1.0,1.0
1,1000,0.0076391752577319606,0.015,0.0075,0.985,0.9952857142857142,0.985,0.07040710233717529,0.12155245781143363,0.06851094803022426,0.12155245781143363,0.047790145000656835,0.12155245781143363,0.0,0.0,0.0,-0.0,0.14285714285714285,-0.0,0.9381443298969072,1.0,1.0,1.0,1.0,1.0
2,1000,0.012773195876288659,0.027,0.015,0.973,0.992,0.973,0.08656963148065414,0.1620833119108805,0.09949874371066376,0.1620833119108805,0.07011128180781434,0.1620833119108805,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.9381443298969072,1.0,1.0,1.0,1.0,1.0
3,1000,0.01871134020618556,0.042,0.02375,0.958,0.9877142857142858,0.958,0.09960639670756806,0.20058913230781306,0.1264849299323856,0.20058913230781306,0.08696750507388155,0.20058913230781306,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.9381443298969072,1.0,1.0,1.0,1.0,1.0
4,1000,0.027701030927835015,0.062,0.03475,0.938,0.9824285714285714,0.938,0.11975416372738668,0.24115555146004983,0.15076451008111777,0.24115555146004983,0.10359566218953864,0.24115555146004983,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.9381443298969072,1.0,1.0,1.0,1.0,1.0
5,1000,0.036103092783505125,0.083,0.04525,0.917,0.9794285714285714,0.917,0.13334165684155871,0.27588222124667783,0.16849313784246422,0.27588222124667783,0.10853984503021571,0.27588222124667783,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.9381443298969072,1.0,1.0,1.0,1.0,1.0
6,1000,0.04814432989690723,0.112,0.0615,0.888,0.9727142857142858,0.888,0.15101073015081828,0.31536645351084025,0.19324272301952378,0.31536645351084025,0.12441856610585089,0.31536645351084025,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.9381443298969072,1.0,1.0,1.0,1.0,1.0
7,1000,0.0618453608247423,0.147,0.0795,0.853,0.9672857142857142,0.853,0.16693424480125194,0.35410591635836647,0.21226104211560204,0.35410591635836647,0.13298450116844013,0.35410591635836647,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.9381443298969072,1.0,1.0,1.0,1.0,1.0
8,1000,0.07600000000000005,0.187,0.10125,0.813,0.9614285714285713,0.813,0.17882827850692812,0.38991152842663285,0.23624338615081247,0.38991152842663285,0.14164485626425727,0.38991152842663285,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.9381443298969072,1.0,1.0,1.0,1.0,1.0
9,1000,0.101298969072165,0.254,0.141,0.746,0.9454285714285713,0.746,0.2023681992949337,0.43529759935014367,0.27063628729347905,0.43529759935014367,0.1626361909669712,0.43529759935014367,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.9381443298969072,1.0,1.0,1.0,1.0,1.0
10,1000,0.13209278350515474,0.338,0.18875,0.662,0.9267142857142857,0.662,0.2195735998132178,0.4730285403651754,0.29822128948148485,0.4730285403651754,0.18537501978201748,0.4730285403651754,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.9381443298969072,1.0,1.0,1.0,1.0,1.0
11,1000,0.1651546391752578,0.43,0.242,0.57,0.9104285714285716,0.57,0.23281528003530932,0.4950757517794623,0.31829388935385206,0.4950757517794623,0.1980450886612867,0.4950757517794623,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.9381443298969072,1.0,1.0,1.0,1.0,1.0
12,1000,0.20511340206185555,0.544,0.3115,0.456,0.8898571428571435,0.456,0.2424893010252219,0.4980602373207532,0.33405501043989677,0.4980602373207532,0.21153274460664112,0.4980602373207532,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.9381443298969072,1.0,1.0,1.0,1.0,1.0
