gen,evals,avg_upcc,avg_upmr,avg_upcm,avg_cpdh,avg_cpah,avg_cprr,std_upcc,std_upmr,std_upcm,std_cpdh,std_cpah,std_cprr,min_upcc,min_upmr,min_upcm,min_cpdh,min_cpah,min_cprr,max_upcc,max_upmr,max_upcm,max_cpdh,max_cpah,max_cprr
0,1000,0.006256410256410256,0.007,0.0145,0.9881333333333332,0.982,0.9898316670550156,0.04955804087722944,0.0833726573883784,0.11029392549002939,0.08862695852717695,0.13295111883696328,0.07510513294201043,0.0,0.0,0.0,0.03333333333333333,-0.0,0.4339281246157559,0.5384615384615384,1.0,1.0,1.0,1.0,1.0
1,1000,0.010025641025641026,0.009,0.02675,0.9786,0.968,0.9819207889888587,0.06000040847743684,0.09444045743218198,0.15073797630325825,0.1187332959011745,0.17600000000000282,0.09943574995062829,0.0,0.0,0.0,0.03333333333333333,-0.0,0.43367274137108447,0.5384615384615384,1.0,1.0,1.0,1.0,1.0
2,1000,0.015452991452991446,0.014,0.0385,0.9678333333333333,0.952,0.9728853041732455,0.07602953776593009,0.11749042514179929,0.1764730857666368,0.14477482515962914,0.21376622745420326,0.12075446533356111,0.0,0.0,0.0,0.03333333333333333,-0.0,0.43304199549151123,0.7777777777777778,1.0,1.0,1.0,1.0,1.0
3,1000,0.021017094017093996,0.017,0.05425,0.9544333333333334,0.932,0.9615789010759122,0.0859628185912048,0.12927103310486354,0.20704936005697203,0.17054263396582248,0.2517459036409524,0.1422407192381269,0.0,0.0,0.0,0.03333333333333333,-0.0,0.43286228147801364,0.7777777777777778,1.0,1.0,1.0,1.0,1.0
4,1000,0.029068376068376027,0.023,0.07675,0.9355,0.904,0.9457533066609928,0.09912989822912104,0.1499033021650965,0.24196474433272183,0.20013544025095317,0.29459124223234395,0.1664649025191473,0.0,0.0,0.0,0.03333333333333333,-0.0,0.43278084361924096,0.7777777777777778,1.0,1.0,1.0,1.0,1.0
5,1000,0.036230769230769184,0.028,0.09575,0.9189666666666667,0.88,0.9321899993958647,0.10916369641950381,0.16497272501840857,0.26696336359132955,0.22196906441113134,0.32496153618543144,0.18363067656462967,0.0,0.0,0.0,0.03333333333333333,-0.0,0.43278084361924096,0.7777777777777778,1.0,1.0,1.0,1.0,1.0
6,1000,0.04451282051282049,0.035,0.11825,0.8982,0.851,0.9157929453473964,0.11837552408156776,0.18377975949488667,0.29125493558050247,0.24622276273506102,0.35608847215263206,0.20124309966564222,0.0,0.0,0.0,0.03333333333333333,-0.0,0.43264549221251114,0.7777777777777778,1.0,1.0,1.0,1.0,1.0
7,1000,0.054803418803418824,0.046,0.146,0.8734,0.816,0.8960208667371414,0.12930023909465957,0.20948508300115512,0.31711039087358667,0.26988721100983065,0.3874841932259833,0.21896932902865615,0.0,0.0,0.0,0.03333333333333333,-0.0,0.43264549221251114,0.7777777777777778,1.0,1.0,1.0,1.0,1.0
8,1000,0.06755555555555563,0.06,0.18175,0.8407,0.771,0.8705885724332728,0.1412613373577436,0.23748684174075588,0.3448252274703766,0.2962659447185916,0.4201892430798184,0.23745596720477116,0.0,0.0,0.0,0.0,-0.0,0.43251228239957884,0.8205128205128205,1.0,1.0,1.0,1.0,1.0
9,1000,0.086794871794872,0.08,0.23375,0.7955333333333333,0.706,0.8338551994444141,0.1546151188499689,0.2712931993250097,0.3752311787418534,0.3215276798176021,0.4555919226676368,0.25746400201108727,0.0,0.0,0.0,0.0,-0.0,0.43251228239957884,0.8205128205128205,1.0,1.0,1.0,1.0,1.0
10,1000,0.10736752136752166,0.097,0.292,0.7421999999999999,0.632,0.7920251310426788,0.16411684321779654,0.295957767257432,0.39778888873370705,0.34330298247725866,0.4822613399392496,0.27255036054131593,0.0,0.0,0.0,0.0,-0.0,0.43251228239957884,0.8205128205128205,1.0,1.0,1.0,1.0,1.0
11,1000,0.13062393162393196,0.12,0.3575,0.682,0.547,0.7439779985445966,0.1723584138394291,0.32496153618543205,0.41117970523847425,0.35613418195331203,0.49778609864077017,0.28133474060738983,0.0,0.0,0.0,0.0,-0.0,0.43226780629529127,0.8205128205128205,1.0,1.0,1.0,1.0,1.0
12,1000,0.16346153846153885,0.149,0.45425,0.5972333333333338,0.428,0.6767132975023857,0.17721874938631244,0.35608847215263256,0.4151438756623996,0.35681945481339955,0.4947888438515919,0.2796491963591814,0.0,0.0,0.0,0.0,-0.0,0.43226780629529127,0.8205128205128205,1.0,1.0,1.0,1.0,1.0
13,1000,0.20117094017094084,0.181,0.565,0.4922000000000013,0.283,0.5947439523486477,0.1731385626230994,0.3850181813888731,0.38700775186034675,0.33101400440330325,0.45045643518547057,0.25460441261209515,0.0,0.0,0.0,0.0,-0.0,0.43226780629529127,0.8205128205128205,1.0,1.0,1.0,1.0,1.0
14,1000,0.2588205128205136,0.234,0.72925,0.34590000000000126,0.081,0.480568136981095,0.15537193915553812,0.42337217669563293,0.2779513221771032,0.21804400931922008,0.27283511504203384,0.15421390400112564,0.0,0.0,0.0,0.0,-0.0,0.43226780629529127,0.8205128205128205,1.0,1.0,1.0,1.0,1.0
15,1000,0.2901709401709412,0.288,0.7915,0.27453333333333385,0.0,0.4346940291674152,0.14544474856434017,0.4528310943387161,0.19013876511642824,0.10433015969614073,0.0,0.0011356353317895022,0.02564102564102564,0.0,0.0,0.0,-0.0,0.43226780629529127,0.8205128205128205,1.0,1.0,0.5666666666666667,-0.0,0.4387117321938543
16,1000,0.29725641025641086,0.321,0.78475,0.257533333333333,0.0,0.43455842040345666,0.15519168464084737,0.4668607929565254,0.19679923145175152,0.10420558739551582,0.0,0.0011493360077255114,0.02564102564102564,0.0,0.0,0.0,-0.0,0.43221302365531333,0.8205128205128205,1.0,1.0,0.5666666666666667,-0.0,0.43883890477000287
17,1000,0.3058888888888893,0.357,0.78425,0.2448333333333327,0.0,0.43447597837488183,0.16353366466392608,0.47911480878804635,0.2034439419102983,0.10461556608204498,0.0,0.0011828912692226677,0.02564102564102564,0.0,0.0,0.0,-0.0,0.43221302365531333,0.8290598290598291,1.0,1.0,0.5666666666666667,-0.0,0.43883890477000287
18,1000,0.31627350427350476,0.384,0.787,0.23799999999999902,0.0,0.4344401628655721,0.17298393281178034,0.48635789291426484,0.208580919549224,0.10710534793163042,0.0,0.001220638333166584,0.02564102564102564,0.0,0.0,0.0,-0.0,0.43221302365531333,0.8290598290598291,1.0,1.0,0.5666666666666667,-0.0,0.43883890477000287
19,1000,0.32905982905982956,0.413,0.7775,0.2281333333333326,0.0,0.434455317184326,0.17930026897993998,0.49237282622013384,0.22303306929690966,0.11073323299212859,0.0,0.0012611442678217468,0.02564102564102564,0.0,0.0,0.0,-0.0,0.43221302365531333,0.8290598290598291,1.0,1.0,0.5666666666666667,-0.0,0.43925021163742617
20,1000,0.33564957264957257,0.442,0.76225,0.21706666666666663,0.0,0.43443861787791455,0.1829825622498368,0.49662460672020914,0.22975516860345055,0.11330321168341966,0.0,0.0013022672623368267,0.02564102564102564,0.0,0.0,0.0,-0.0,0.43221302365531333,0.8290598290598291,1.0,1.0,0.5666666666666667,-0.0,0.4392804500004417
21,1000,0.3446752136752146,0.463,0.74575,0.2083666666666662,0.0,0.4344101886110413,0.1918574160632666,0.4986291206899178,0.2319362789647175,0.11429979585866874,0.0,0.0013419113685309949,0.02564102564102564,0.0,0.0,0.0,-0.0,0.4321504262036886,0.8803418803418803,1.0,1.0,0.5333333333333333,-0.0,0.43970524352083307
22,1000,0.3546324786324788,0.466,0.7355,0.20146666666666577,0.0,0.43436989517190944,0.19867446192679258,0.49884266056543003,0.23138658128768008,0.11601754656564303,0.0,0.0013443851737343809,0.02564102564102564,0.0,0.0,0.0,-0.0,0.4321504262036886,0.8803418803418803,1.0,1.0,0.5333333333333333,-0.0,0.43970524352083307
23,1000,0.3640000000000004,0.48,0.7145,0.19543333333333257,0.0,0.43431540681135916,0.205002499944668,0.49959983987187184,0.22856016713329652,0.11762572942269996,0.0,0.0013499224793567792,0.02564102564102564,0.0,0.0,0.0,-0.0,0.43208204773486336,0.8803418803418803,1.0,1.0,0.5333333333333333,-0.0,0.43970524352083307
24,1000,0.3787606837606836,0.499,0.71325,0.19713333333333238,0.0,0.43431637849766935,0.207432177675402,0.4999989999989997,0.22491540076215347,0.11869945239974718,0.0,0.001393342645029857,0.02564102564102564,0.0,0.0,0.0,-0.0,0.43208204773486336,0.8803418803418803,1.0,1.0,0.5333333333333333,-0.0,0.43970524352083307
25,1000,0.39733333333333304,0.535,0.705,0.19649999999999873,0.0,0.4343457229147394,0.20916118333388553,0.49877349568717233,0.22045407685048668,0.11920092747588469,0.0,0.0013552307953107095,0.02564102564102564,0.0,0.0,0.0,-0.0,0.43208204773486336,0.8803418803418803,1.0,1.0,0.5333333333333333,-0.0,0.4392804500004417
26,1000,0.4079743589743587,0.563,0.69375,0.19446666666666487,0.0,0.43435119576309694,0.21347951910445478,0.4960151207372597,0.22253862024376816,0.11903521421084633,0.0,0.0013368328507249048,0.02564102564102564,0.0,0.0,0.0,-0.0,0.43205088878455666,0.8803418803418803,1.0,1.0,0.5333333333333333,-0.0,0.4392804500004417
27,1000,0.4008376068376072,0.54,0.686,0.1827333333333323,0.0,0.434348764832923,0.22047597850319026,0.4983974317750832,0.21944019686465852,0.12216417005179739,0.0,0.0013914785737527578,0.02564102564102564,0.0,0.0,0.0,-0.0,0.43200219744442603,0.8803418803418803,1.0,1.0,0.5333333333333333,-0.0,0.4392804500004417
28,1000,0.42239316239316016,0.598,0.6715,0.1776999999999996,0.0,0.434436339224309,0.22037523038046344,0.4903019477832029,0.20907594314028602,0.1201824492640714,0.0,0.0013670495505178851,0.02564102564102564,0.0,0.0,0.0,-0.0,0.43200219744442603,0.9316239316239316,1.0,1.0,0.5666666666666667,-0.0,0.43925021163742617
29,1000,0.4199658119658095,0.583,0.6875,0.17646666666666594,0.0,0.43445241235748533,0.2249522484048243,0.49306287631497964,0.2184462176372024,0.12379895888989634,0.0,0.0014378398223565654,0.02564102564102564,0.0,0.0,0.0,-0.0,0.43200219744442603,0.9316239316239316,1.0,1.0,0.5666666666666667,-0.0,0.43860044473752235
30,1000,0.4462136752136745,0.632,0.69275,0.18533333333333252,0.0,0.43457534541518394,0.22233004468376405,0.4822613399392512,0.2256323059758956,0.12298328703075385,0.0,0.0014899830324499386,0.02564102564102564,0.0,0.0,0.0,-0.0,0.43200219744442603,0.9316239316239316,1.0,1.0,0.5666666666666667,-0.0,0.43860044473752235
31,1000,0.46145299145299234,0.657,0.694,0.1900666666666658,0.0,0.4346263732190386,0.2219936200899809,0.4747114913292056,0.2355610324310867,0.12124903665138449,0.0,0.0015268031471110577,0.02564102564102564,0.0,0.0,0.0,-0.0,0.43200219744442603,0.9316239316239316,1.0,1.0,0.5666666666666667,-0.0,0.43958008975479756
32,1000,0.47047863247863303,0.668,0.683,0.19313333333333216,0.0,0.43467064076649264,0.23088219520657927,0.47093099282166445,0.2307834482799846,0.12388867762812135,0.0,0.0015780472421832122,0.02564102564102564,0.0,0.0,0.0,-0.0,0.43200219744442603,0.9316239316239316,1.0,1.0,0.5666666666666667,-0.0,0.43958008975479756
33,1000,0.4872307692307706,0.697,0.694,0.1960999999999991,0.0,0.4347909314458454,0.234642077163871,0.4595552197505758,0.23342878999814873,0.12682144490932487,0.0,0.0016189530323538549,0.02564102564102564,0.0,0.0,0.0,-0.0,0.43200219744442603,0.9316239316239316,1.0,1.0,0.5666666666666667,-0.0,0.43958008975479756
